symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,11856,49809064,49820920,188873.679163,78965866023067.4,1179707.599837,13103373,24476.75
TRENT,25613,99715,125328,173045.708325,71359490749.5,189551.4000075,99812,2977.3
BANKNIFTY,4070,305162,309232,71596.318581,539095338690.9,118375.32549,964949,58426.2
HDFCBANK,17487,81881,99368,95140.770075,45178935834.5,102750.93842,731388,834.55
TITAN,9055,111408,120463,72456.70152,91069389297.25,86861.9319925,93664,4644.0
BSE,8195,53059,61254,60515.82686,41013984390.0,70072.67076,100259,3665.6
INFY,12211,77952,90163,51957.919,34080184600.0,61291.525,484982,1069.3
MCX,7744,49469,57213,46182.602385,31525206732.0,53955.969705,114994,2633.7
KALYANKJIL,8183,31494,39677,39316.888755,16061045917.5,43602.00543,53669,354.3
TCS,8191,44772,52963,38192.4242775,21635077812.75,42840.972405,387983,2095.0
DIXON,4517,41224,45741,30163.96304,28143026125.0,37583.44929,114763,13260.0
ICICIBANK,2937,12090,15027,29373.58242,12263502986.0,31103.07228,235951,1429.5
COCHINSHIP,4931,16676,21607,28412.69528,10012397444.0,30904.58972,25985,1442.3
JUBLFOOD,4419,27885,32304,24564.09475,16141912037.5,28655.027625,29074,454.6
LT,3761,21427,25188,26412.982295,15479734628.75,28632.2735825,156737,3991.7
RELIANCE,3653,30293,33946,24215.88225,20479349280.0,27293.22505,453766,1318.7
ADANIENSOL,1918,8387,10305,21341.0845125,9692697755.25,24578.467065,40898,1624.4
SHRIRAMFIN,2380,11372,13752,21228.421005,10442856534.0,23719.821345,60963,1074.6
ETERNAL,2919,12137,15056,20363.3892075,8630071570.0,22581.0492825,121320,287.85
AXISBANK,2320,11673,13993,19590.71225,10127557481.25,21263.7870625,140018,1347.4
SBIN,2363,21005,23368,18615.549,16815910537.5,20908.704375,185438,1044.4
VBL,3028,10114,13142,19011.45615,6593384103.75,20279.5921875,64286,484.0
MIDCPNIFTY,742,47633,48375,12990.267552000001,84635415058.8,19519.52814,89227,14536.1
JIOFIN,2697,19844,22541,15430.137835,11646870391.0,18248.259245,102568,243.01
NAUKRI,2558,14618,17176,14843.16768,8809861076.5,17150.248445,42282,1055.05
EICHERMOT,1912,17157,19069,14466.16226,13263138942.0,16973.10168,74435,7545.5
PERSISTENT,2186,13507,15693,13004.2692625,8319759490.0,15494.3641625,76250,4784.8
EXIDEIND,1709,10102,11811,12634.26102,7718660406.0,14410.58508,28624,410.9
HCLTECH,2637,16821,19458,11966.80008,7903228444.0,14230.76452,147490,1149.5
KOTAKBANK,1692,10354,12046,12903.0702,8190795520.0,14207.1754,148261,380.0
ADANIENT,1184,6761,7945,11686.557984000001,6788434787.58,13339.691359800001,98184,3172.4
IDEA,1195,6352,7547,11945.58816,6714949739.25,13234.4468025,114377,13.88
BAJFINANCE,1591,5656,7247,12363.454575,4488277200.0,13196.701575,143053,1031.7
POWERINDIA,1404,9808,11212,11283.475125,8281375916.0,12895.859285,48846,31880.0
HEROMOTOCO,1500,14450,15950,11049.26625,10904645653.5,12859.372785,81129,4961.6
COFORGE,1469,9473,10942,10471.212645,6999963954.5,12710.96219,62092,1504.0
BHEL,1113,7060,8173,11136.5407125,7512757586.25,12707.022825,56953,379.05
CGPOWER,1392,9542,10934,10796.67654,7753453823.0,12614.74477,43909,901.35
BAJAJ-AUTO,1375,14282,15657,10417.5280875,11031704458.5,12309.4726725,67674,10123.0
CUMMINSIND,1050,4201,5251,11448.6422,4741778580.0,12282.128,31226,5437.5
ADANIGREEN,1200,4032,5232,11132.1225,3906034566.0,12204.90816,51947,1526.4
M&M,1660,11113,12773,10661.83624,7302998944.0,12019.26568,153349,3184.8
SOLARINDS,1217,5836,7053,11042.905725,5469236533.5,11999.77106,23350,17887.0
BANDHANBNK,1413,5087,6500,10742.91408,3980146284.0,11969.74692,43890,210.19
BHARTIARTL,1197,9464,10661,10933.4745225,8786097315.5,11858.3326775,158777,1929.6
INDUSINDBK,1449,8788,10237,10321.0282,6287909691.0,11788.28511,79998,1015.0
RBLBANK,911,2844,3755,10754.4714425,3472717019.5,11650.7466375,24206,371.9
POLYCAB,882,4393,5275,10485.8215,5348717251.25,11456.8690125,30460,9476.0
SBILIFE,1449,9463,10912,9922.0957875,6644546775.0,11168.4135375,32750,1835.5
ADANIPOWER,1290,3562,4852,10157.00582,2981427491.5,10965.916985,64741,219.26
POLICYBZR,1885,4787,6672,10342.68095,2734143212.5,10930.883075,41736,1564.3
INDUSTOWER,1526,4519,6045,9973.19654,3086013808.0,10516.63962,85189,378.9
BEL,1519,10861,12380,9142.45857,6787574820.0,10320.72552,134853,419.8
ABB,992,8909,9901,8572.152825,8021613513.75,10217.6629625,34943,6878.5
HINDALCO,1262,9089,10351,8585.1038,6383293147.0,9761.03527,107624,975.35
TECHM,1057,3295,4352,8991.8352,2884607682.0,9691.98402,51790,1430.2
SUNPHARMA,1276,12023,13299,8590.88979,8193699892.0,9558.11871,93021,1918.0
WIPRO,1663,8487,10150,8654.7183,4557514950.0,9551.4678,180494,175.13
DELHIVERY,753,4893,5646,8154.6099375,5420762370.0,9374.0998875,26929,519.9
BANKBARODA,1148,5094,6242,8462.4698925,3914175739.5,9193.9609125,86638,251.05
MARUTI,1027,15083,16110,7443.238025,11168437511.5,8859.01314,133854,14480.0
TATASTEEL,1496,9820,11316,7833.0494,5366298135.0,8707.44325,130423,190.75
DIVISLAB,1028,14026,15054,7110.44827,9900513270.0,8633.98097,54644,6925.5
