symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
SANSERA,3177.6,13,7.898132427843801,3.16,3.51,44.43,,5.08,110.07022389829542,3012.49,3336.48,False,0,Buy,Producer Manufacturing
KPIL,1363.5,13,5.167759352101813,0.43,8.32,50.1,,11.49,43.20284105359705,1298.7,1431.68,False,0,Buy,Industrial Services
TITAN,4639.8,13,8.685874912157418,3.95,4.3,64.15,11.81,8.63,100.76186856727344,4488.66,4871.79,False,2,Strong buy,Consumer Durables
AADHARHFC,543.5,13,16.856589980649318,12.12,8.75,49.31,,13.65,17.489592323800643,517.27,570.68,False,0,Buy,Finance
MANKIND,2540.5,13,7.913516268796203,3.17,0.88,56.91,2.02,6.93,65.36290376334868,2442.46,2667.52,False,0,Strong buy,Health Technology
MEDANTA,1335.1,13,8.377303352544834,3.64,1.35,53.36,,9.09,32.50860107545767,1286.34,1401.86,False,0,Buy,Health Services
HONAUT,38285.0,13,10.014367816091951,5.27,14.31,48.19,,7.29,1018.224055823062,36757.66,40199.25,False,2,Buy,Electronic Technology
BELRISE,234.32,13,8.230946882217086,3.49,3.84,55.7,,7.55,9.143156397938778,220.61,246.04,False,0,Buy,Producer Manufacturing
DEEPAKFERT,1622.9,13,13.696230909345662,8.96,19.59,54.96,,13.99,52.58894989603874,1544.02,1704.04,False,0,Buy,Process Industries
BHARATFORG,2115.5,13,9.719412893522124,4.98,5.33,53.1,0.25,5.79,60.79787587078131,2024.3,2221.28,False,0,Buy,Producer Manufacturing
PAGEIND,42490.0,13,9.102580562331491,4.36,5.38,61.73,-0.57,16.22,1081.148708610827,40868.28,44614.5,False,0,Strong buy,Consumer Non-Durables
AJANTPHARM,3330.4,13,11.717151387071892,6.98,4.69,44.96,,5.3,112.19065309536892,3162.11,3496.92,False,0,Buy,Health Technology
ACUTAAS,3536.2,13,11.79539059783124,7.06,4.77,49.89,,5.76,137.2715063560874,3330.29,3713.01,False,0,Buy,Health Technology
TRENT,2986.7,13,5.537102473498226,0.8,1.82,54.3,40.4,26.65,104.70080865507175,2829.65,3136.04,False,0,Sell,Retail Trade
SYRMA,1376.7,13,11.926829268292686,7.19,16.23,41.11,,10.24,52.71739782011348,1297.62,1445.54,False,0,Buy,Electronic Technology
ABSLAMC,1157.1,13,12.143826322930796,7.4,16.44,51.87,,5.86,45.95460633781636,1088.17,1214.96,False,0,Buy,Technology Services
CUB,226.8,12,22.42914979757085,17.69,14.32,49.58,,10.43,7.252474948769887,215.92,238.14,False,0,Buy,Finance
NEULANDLAB,19270.0,12,13.687315634218288,8.95,6.66,40.3,,8.83,565.2659943913425,18422.1,20233.5,False,2,Strong buy,Health Technology
CARBORUNIV,1119.1,12,7.595423516969523,2.86,13.49,39.42,,16.78,47.59997052589654,1047.7,1175.06,False,0,Buy,Process Industries
GMRAIRPORT,114.17,12,10.86618760924451,6.13,6.48,50.97,-0.05,4.78,2.786687406381825,109.99,119.88,False,0,Strong buy,Transportation
