index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,07-Jul-2026,24474.65,3919263,5088046,1.3,24450,5.75
BANKNIFTY,28-Jul-2026,58420.25,429256,383868,0.89,58400,11.55
