index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,11-Aug-2026,24583.8,2604291,2207871,0.85,24600,15.17
BANKNIFTY,25-Aug-2026,57686.95,466605,399258,0.86,58000,12.54
