index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,14-Jul-2026,24039.6,2954036,3161235,1.07,24050,16.09
BANKNIFTY,28-Jul-2026,57704.45,480657,430148,0.89,58000,14.99
