date,symbol,subject,details,category
13-Jul-2026 09:33:44,SHILCTECH,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Shilchar Technologies Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
13-Jul-2026 09:29:53,TATACAP,Press Release,"Tata Capital Limited has informed the Exchange regarding a press release dated July 13, 2026, titled ""Tata Capital limited Enters Gold Loans Through Acquisition of Yogloans"".",Press Release
13-Jul-2026 09:25:39,TATACAP,General Updates,"Tata Capital Limited has informed the Exchange that the Annual General Meeting of the Company is scheduled on Wednesday, August 19, 2026 at 11.00 a.m.",General Updates
13-Jul-2026 09:23:37,TATACAP,Record Date,Tata Capital Limited has informed the Exchange that Record date for the purpose of Dividend  is 27-Jul-2026.,Record Date
13-Jul-2026 09:20:55,TATACAP,Appointment,Tata Capital Limited has informed the Exchange regarding Appointment of  M/s. T. P. Ostwal & Associates LLP  as Statutory Auditors of the Company.,Appointment
13-Jul-2026 09:15:37,TATACAP,Acquisition,Tata Capital Limited has informed the Exchange regarding Disclosure under Regulation 30 of SEBI Listing Regulations with respect to acquisition.,Acquisition
13-Jul-2026 09:11:01,MCLOUD,Bagging/Receiving of orders/contracts,"Magellanic Cloud Limited has informed the Exchange about receipt of Letter of Acceptance by Provigil Surveillance Limited, wholly owned subsidiary",Bagging/Receiving of orders/contracts
13-Jul-2026 07:53:27,SMARTWORKS,General Updates,Smartworks Coworking Spaces Limited has informed the Exchange about General Updates,General Updates
13-Jul-2026 00:07:35,AWHCL,Strikes/Lockouts/Disturbances,Antony Waste Handling Cell Limited has informed the Exchange about strikes/lockouts/disturbances,Strikes/Lockouts/Disturbances
12-Jul-2026 23:48:59,ZYDUSWELL,Copy of Newspaper Publication,Zydus Wellness Limited has informed the Exchange about Copy of Newspaper Publication regarding 32nd Annual General Meeting of the Company,Copy of Newspaper Publication
12-Jul-2026 23:30:48,PERSISTENT,Copy of Newspaper Publication,Persistent Systems Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
12-Jul-2026 22:08:41,ICICIGI,Change in Director(s),ICICI Lombard General Insurance Company Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
12-Jul-2026 20:49:23,ASIANPAINT,General Updates,"This is to inform you that Crisil ESG Ratings & Analytics Limited, a SEBI registered Category   I ESG rating provider, has independently assigned the Company an ESG Rating. Find enclosed the communication in this regard.",General Updates
12-Jul-2026 19:01:35,BAJAJCON,Copy of Newspaper Publication,Bajaj Consumer Care Limited has informed the Exchange about Copy of Newspaper Publication regarding 20th AGM and E-voting,Copy of Newspaper Publication
12-Jul-2026 18:23:14,NUVOCO,Analysts/Institutional Investor Meet/Con. Call Updates,"Nuvoco Vistas Corporation Limited has informed the Exchange about Rescheduling of Investor and Analyst Conference Call time to to 4:00 P.M. (IST) on July 14, 2026 instead of 4:30 P.M. (IST) on July 14, 2026, details of which are enclosed.",Analysts/Institutional Investor Meet/Con. Call Updates
12-Jul-2026 17:56:52,BRITANNIA,Copy of Newspaper Publication,Britannia Industries Limited has informed the Exchange about Copy of Newspaper Publication regarding the 107th Annual General Meeting of the Company.,Copy of Newspaper Publication
12-Jul-2026 17:29:59,AXISCADES,Analysts/Institutional Investor Meet/Con. Call Updates,AXISCADES Technologies Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
12-Jul-2026 16:57:10,TVSSCS,Copy of Newspaper Publication,"Newspaper Publication - The 22nd Annual General Meeting of TVS Supply Chain Solutions Limited is to be held on August 05, 2026.",Copy of Newspaper Publication
12-Jul-2026 16:34:24,TCS,Change in Management,Tata Consultancy Services Limited has informed the Exchange about change in Management,Change in Management
12-Jul-2026 15:35:30,EVERESTIND,General Updates,"Pursuant to Regulation 36(1)(b) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, on July 11, 2026, the Company has sent letter providing a Web-link to access the Annual Report of the Company for FY 2025-26 including the Notice of 93rd Annual General Meeting to those membe",General Updates
