date,symbol,subject,details,category
18-Aug-2026 00:43:19,THOMASCOTT,Analysts/Institutional Investor Meet/Con. Call Updates,Thomas Scott (India) Limited has informed the Exchange about Link of Recording,Analysts/Institutional Investor Meet/Con. Call Updates
18-Aug-2026 00:03:24,POWERMECH,Analysts/Institutional Investor Meet/Con. Call Updates,Power Mech Projects Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates
17-Aug-2026 23:40:53,SASKEN,Analysts/Institutional Investor Meet/Con. Call Updates,Sasken Technologies Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
17-Aug-2026 23:12:02,GEEKAYWIRE,Shareholders meeting,Geekay Wires Limited has informed the Exchange about Shareholders meeting,Shareholders meeting
17-Aug-2026 23:09:34,MANKIND,General Updates,Completion of Realignment of Security Cover in respect of Non-ConvertibleDebentures and Consequent Release of Pledged Shares of Bharat Serums andVaccines Limited,General Updates
17-Aug-2026 23:07:20,MAXESTATES,General Updates,Max Estates Limited has informed the Exchange about the grant of stock options.,General Updates
17-Aug-2026 22:56:16,RPOWER,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Reliance Power Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
17-Aug-2026 22:53:08,RELINFRA,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Reliance Infrastructure Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
17-Aug-2026 22:52:15,MASTEK,General Updates,Mastek Limited has informed the Exchange about Update on Sale of Assets.,General Updates
17-Aug-2026 22:51:34,INDOMIM,Change in Auditors,INDO-MIM Limited has informed the Exchange regarding Change in Auditors of the company.,Change in Auditors
17-Aug-2026 22:50:13,INDOMIM,Outcome of Board Meeting,"INDO-MIM Limited has informed the Exchange regarding Outcome of Board Meeting held on August 17, 2026.",Outcome of Board Meeting
17-Aug-2026 22:48:05,INDOMIM,Outcome of Board Meeting,"Un-audited (Standalone and Consolidated) Financial Results for the quarter ended June 30, 2026.",Outcome of Board Meeting
17-Aug-2026 22:47:01,GOKEX,Analysts/Institutional Investor Meet/Con. Call Updates,Gokaldas Exports Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
17-Aug-2026 22:46:44,NAVINFLUOR,Analysts/Institutional Investor Meet/Con. Call Updates,Navin Fluorine International Limited has informed the Exchange about Schedule of meet and Presentation,Analysts/Institutional Investor Meet/Con. Call Updates
17-Aug-2026 22:39:12,KISSHT,Resignation of Director/KMP/SMP,OnEMI Technology Solutions Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
17-Aug-2026 22:36:56,KISSHT,Resignation,"Resignation of Mr. Piyush Kharbanda as Non- Executive Nominee Director of the company w.e.f. close of business hours of August 17, 2026.",Resignation
17-Aug-2026 22:31:09,PREMIERENE,Credit Rating,Premier Energies Limited has informed the Exchange about Credit Rating,Credit Rating
17-Aug-2026 22:28:46,RHIM,General Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about cancellation of investor meet to be held in next 3 days,General Updates
17-Aug-2026 22:26:03,SAMMAANCAP,Updates,"Sammaan Capital Limited has informed the Exchange regarding 'Intimation under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended   Final Results of Cash Tender Offer'. For details refer attached PDF.",Updates
17-Aug-2026 22:22:41,JYOTICNC,General Updates,Jyoti CNC Automation Limited has informed the Exchange about General Updates,General Updates
