index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,18-Aug-2026,24287.65,2330068,2134041,0.92,24350,15.77
BANKNIFTY,25-Aug-2026,57497.8,557353,462129,0.83,57800,14.61
