symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
ETERNAL,328.1,15,4.992000000000007,5.57,4.71,86.76,23.3,12.3,8.18868202621576,315.82,344.51,False,0,Buy,Technology Services
JAGSNPHARM,240.84,14,2.9230769230769247,3.5,0.47,45.44,,9.82,8.819728383425547,227.61,252.88,False,0,Strong buy,Health Technology
UNIONBANK,188.63,14,10.271249853852446,10.85,9.66,60.57,1.16,8.94,4.659937789039399,181.64,198.06,False,0,Strong buy,Finance
JSWSTEEL,1307.7,14,2.452209338765273,3.03,2.45,71.85,-0.05,5.12,25.57179932745046,1269.34,1373.08,False,0,Buy,Non-Energy Minerals
CANHLIFE,156.14,14,5.7142857142857135,6.29,5.71,46.94,,24.32,5.520773624512749,147.86,163.95,False,0,Strong buy,Finance
PRICOLLTD,803.25,14,16.41304347826087,16.99,16.41,49.59,,7.69,27.412078779535875,762.13,843.41,False,0,Buy,Producer Manufacturing
TBOTEK,1745.1,14,15.188118811881184,15.77,14.91,51.41,,7.45,58.932496861508106,1656.7,1832.36,False,0,Buy,Technology Services
PLAZACABLE,56.55,14,31.848915831196077,32.43,31.85,75.6,,14.94,2.6388348820833705,52.59,59.38,False,0,Strong buy,Producer Manufacturing
KTKBANK,335.15,14,14.385665529010232,14.97,13.78,54.18,,8.61,10.240340406624895,319.79,351.91,False,0,Strong buy,Finance
KRN,1553.1,14,34.28151478471382,34.86,34.28,44.62,,7.4,67.24219122645296,1452.24,1630.76,False,0,Buy,Producer Manufacturing
SKYGOLD,807.1,14,26.50470219435737,27.08,26.5,48.43,,16.19,33.78363332791934,756.42,847.46,False,0,Buy,Consumer Durables
EDELWEISS,127.31,14,10.70434782608696,11.28,10.7,48.65,,5.18,4.749948183787295,120.19,133.68,False,0,Strong buy,Finance
BLUESTONE,817.4,14,5.539057456423497,6.12,5.54,41.56,,13.29,41.04268952732986,755.84,858.27,False,0,Buy,Retail Trade
TI,561.05,14,19.882478632478623,20.46,19.88,47.8,,9.51,19.338020659922808,532.04,589.1,False,1,Buy,Consumer Non-Durables
LAL,9.13,14,1.7837235228539592,2.36,1.78,94.48,,39.87,0.5722704816096604,8.27,9.59,False,0,Strong buy,Consumer Non-Durables
ENGINERSIN,261.87,14,17.43575945109646,18.02,17.44,42.04,,7.99,8.371800373404742,249.31,274.96,False,0,Strong buy,Industrial Services
SGMART,803.3,14,16.06704233492269,16.65,16.07,66.63,,7.13,32.932775672576454,753.9,843.46,False,0,Buy,Utilities
BIL,852.2,14,6.664997809625133,7.24,6.66,91.41,,15.0,32.435692415519355,803.55,894.81,False,0,Buy,Consumer Non-Durables
AFSL,212.1,14,4.529101572125572,5.11,4.53,61.78,,7.97,4.571628060731414,205.24,222.7,False,0,Strong buy,Finance
FINCABLES,1247.15,14,28.17574511819117,28.76,28.18,43.34,,22.52,50.645789391812514,1171.18,1309.51,False,0,Buy,Producer Manufacturing
