index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,01-Sep-2026,24092.95,4822046,5037702,1.04,24100,7.84
BANKNIFTY,29-Sep-2026,57571.15,407701,449049,1.1,57700,10.26
