identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY01-09-2026CE24100.00,Index Options,NIFTY,01-Sep-2026,Call,24100,41.3,9376927,154934.964821,542854,24093.55,-46.15384615384615
OPTIDXNIFTY01-09-2026PE24000.00,Index Options,NIFTY,01-Sep-2026,Put,24000,9.45,8979822,119772.865836,911769,24093.55,-68.65671641791045
OPTIDXNIFTY01-09-2026PE24050.00,Index Options,NIFTY,01-Sep-2026,Put,24050,18.45,8092549,198781.3273615,706340,24093.55,-58.16326530612245
OPTIDXNIFTY01-09-2026CE24050.00,Index Options,NIFTY,01-Sep-2026,Call,24050,72.8,7980076,230097.511384,289222,24093.55,-32.96500920810313
OPTIDXNIFTY01-09-2026CE24150.00,Index Options,NIFTY,01-Sep-2026,Call,24150,21.2,5054300,43694.4235,391380,24093.55,-58.87487875848691
OPTIDXNIFTY01-09-2026PE24100.00,Index Options,NIFTY,01-Sep-2026,Put,24100,36.85,5026556,216325.377294,440228,24093.55,-41.228070175438596
OPTIDXNIFTY01-09-2026CE24000.00,Index Options,NIFTY,01-Sep-2026,Call,24000,113.8,4713454,232385.065835,172645,24093.55,-21.54429507066529
OPTIDXNIFTY01-09-2026PE23950.00,Index Options,NIFTY,01-Sep-2026,Put,23950,4.65,4037964,25065.66153,357821,24093.55,-76.86567164179104
OPTIDXNIFTY01-09-2026CE24200.00,Index Options,NIFTY,01-Sep-2026,Call,24200,10.7,3998199,18971.454255,444246,24093.55,-69.03039073806079
OPTIDXNIFTY01-09-2026PE23900.00,Index Options,NIFTY,01-Sep-2026,Put,23900,2.7,3038286,9499.201179,285486,24093.55,-79.69924812030075
OPTIDXNIFTY01-09-2026CE24300.00,Index Options,NIFTY,01-Sep-2026,Call,24300,3.35,2302492,4220.467836,348773,24093.55,-76.07142857142857
OPTIDXNIFTY01-09-2026CE24250.00,Index Options,NIFTY,01-Sep-2026,Call,24250,5.5,1863249,5110.8920069999995,222809,24093.55,-75.22522522522523
OPTIDXNIFTY01-09-2026PE23850.00,Index Options,NIFTY,01-Sep-2026,Put,23850,1.85,1612624,2756.780728,153029,24093.55,-78.85714285714286
OPTIDXNIFTY01-09-2026CE24350.00,Index Options,NIFTY,01-Sep-2026,Call,24350,2.15,1465460,1952.72545,183845,24093.55,-75.97765363128492
OPTIDXNIFTY01-09-2026PE24150.00,Index Options,NIFTY,01-Sep-2026,Put,24150,67.05,1454356,98654.784904,126144,24093.55,-23.502567027952082
OPTIDXNIFTY01-09-2026PE23800.00,Index Options,NIFTY,01-Sep-2026,Put,23800,1.5,1414919,1591.0764155000002,205233,24093.55,-75.20661157024793
OPTIDXNIFTY01-09-2026CE24400.00,Index Options,NIFTY,01-Sep-2026,Call,24400,1.6,1288501,1331.6657834999999,243443,24093.55,-73.77049180327869
OPTIDXNIFTY01-09-2026CE24500.00,Index Options,NIFTY,01-Sep-2026,Call,24500,0.85,1137038,820.372917,319761,24093.55,-73.01587301587301
OPTIDXNIFTY01-09-2026CE23950.00,Index Options,NIFTY,01-Sep-2026,Call,23950,159.4,1037690,77398.702875,35605,24093.55,-14.73656057769457
OPTIDXNIFTY01-09-2026PE24200.00,Index Options,NIFTY,01-Sep-2026,Put,24200,106.5,1027060,100118.32233,112984,24093.55,-10.915934755332497
