date,symbol,subject,details,category
30-Aug-2026 00:15:57,SHAH,Copy of Newspaper Publication,Shah Metacorp Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
29-Aug-2026 23:50:35,FIRSTCRY,Updates,Brainbees Solutions Limited has informed the Exchange regarding 'Business Responsibility & Sustainability Report for the FY 2025-26'.,Updates
29-Aug-2026 23:40:26,MOLDTKPAC,General Updates,Mold-Tek Packaging Limited has informed the Exchange about BRSR for FY 2025-26,General Updates
29-Aug-2026 23:30:53,MOLDTKPAC,General Updates,Mold-Tek Packaging Limited has informed the Exchange about Annual Report,General Updates
29-Aug-2026 23:28:46,MOLDTKPAC,Shareholders meeting,"Mold-Tek Packaging Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 21, 2026",Shareholders meeting
29-Aug-2026 23:26:18,FIRSTCRY,Shareholders meeting,"Brainbees Solutions Limited has informed the Exchange regarding Notice of 16th Annual General Meeting of the Members of the Company to be held through Video Conferencing / Other Audio-Visual Means on Tuesday, September 22, 2026 At 04:00 PM (IST)",Shareholders meeting
29-Aug-2026 23:23:41,BLS,General Updates,BLS International Services Limited has informed the Exchange about Web Link Letter,General Updates
29-Aug-2026 23:16:29,HATSUN,Copy of Newspaper Publication,Hatsun Agro Product Limited has informed the Exchange about Copy of Newspaper Publication to the Shareholders,Copy of Newspaper Publication
29-Aug-2026 23:15:57,JUBLPHARMA,Copy of Newspaper Publication,Jubilant Pharmova Limited has informed the Exchange about Copy of Newspaper Publication - Re-lodgement and KYC Updation,Copy of Newspaper Publication
29-Aug-2026 22:59:47,OLAELEC,General Updates,"Ola Electric Mobility Limited has informed the exchange regarding a shareholders communication dated August 29, 2026",General Updates
29-Aug-2026 22:50:21,PREMIERENE,Updates,"Premier Energies Limited has informed the Exchange regarding 'The Business Responsibility and Sustainability Report of the Company for the financial year 2025-26, is attached.'.",Updates
29-Aug-2026 22:39:55,BLS,Record Date,BLS International Services Limited has informed the Exchange that Record date for the purpose of Dividend  is 16-Sep-2026.,Record Date
29-Aug-2026 22:36:49,PREMIERENE,Shareholders meeting,"Premier Energies Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 21, 2026",Shareholders meeting
29-Aug-2026 22:29:46,BLS,Updates,BLS International Services Limited has informed the Exchange regarding 'Business Responsibility & Sustainability Report'.,Updates
29-Aug-2026 22:08:07,WINSOME,Change in Management,Winsome Yarns Limited has informed the Exchange about change in Management,Change in Management
29-Aug-2026 22:07:59,J&KBANK,Updates,The Jammu & Kashmir Bank Limited has informed the Exchange regarding 'BRSR Core'.,Updates
29-Aug-2026 22:07:00,WINSOME,General Updates,Winsome Yarns Limited has informed the Exchange about General Updates about Financial results and other matters,General Updates
29-Aug-2026 22:02:28,SUNTECK,Copy of Newspaper Publication,Sunteck Realty Limited has informed the Exchange about Copy of Newspaper Publication w.r.t Annual General Meeting of the Company.,Copy of Newspaper Publication
29-Aug-2026 21:53:56,BLS,Shareholders meeting,"BLS International Services Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 23, 2026",Shareholders meeting
29-Aug-2026 21:53:29,NDLVENTURE,Record Date,NDL Ventures Limited has informed the Exchange that Record date for the purpose of Dividend  is 15-Sep-2026.,Record Date
