symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
BURNPUR,16.15,14,163.4584013050571,164.04,163.46,42.1,,32.45,1.2918271526120613,14.21,16.96,False,0,Strong buy,Non-Energy Minerals
ETERNAL,328.0,14,5.84059373991611,6.42,5.56,68.97,0.78,12.33,7.499349874386204,316.75,344.4,False,0,Buy,Technology Services
NAHARCAP,258.44,14,3.791164658634537,4.37,3.79,94.21,,18.79,8.255960787814946,246.06,271.36,False,0,Buy,Finance
BATLIBOI,88.41,14,3.3914162086305595,3.97,3.39,54.02,,20.46,4.531708398467687,81.61,92.83,False,0,Buy,Producer Manufacturing
BEML,1984.9,14,13.099715099715104,13.68,13.1,42.71,,20.44,58.04882254886879,1897.83,2084.14,False,0,Strong buy,Producer Manufacturing
VIJAYA,1452.5,14,7.274741506646972,7.85,4.82,50.54,,8.3,46.10800398149273,1383.34,1525.12,False,0,Buy,Health Services
IVC,8.49,14,2.784503631961264,3.36,2.78,84.49,,16.37,0.3037583776598295,8.03,8.91,False,0,Strong buy,Finance
CANHLIFE,154.19,14,8.814396612561758,9.39,8.81,58.78,,25.89,4.907756211013729,146.83,161.9,False,0,Buy,Finance
ENGINERSIN,253.72,14,13.77578475336323,14.36,13.78,42.13,,11.46,8.19732347905126,241.42,266.41,False,0,Strong buy,Industrial Services
TATACAP,375.7,14,3.1434454358270387,3.72,3.14,64.08,,8.0,8.058070086483141,363.61,394.48,False,0,Buy,Finance
INDGN,578.95,14,14.168802997436408,14.75,11.72,55.55,,8.99,16.36429902414502,554.4,607.9,False,0,Strong buy,Health Technology
BIL,857.7,14,14.421024546424762,15.0,14.42,79.13,,14.26,33.77689952440546,807.03,900.58,False,0,Buy,Consumer Non-Durables
KEI,5570.0,14,14.845360824742269,15.43,14.85,53.36,4.27,5.91,145.8885057403743,5351.17,5848.5,False,0,Buy,Producer Manufacturing
SBCL,1049.2,14,42.16802168021681,42.75,42.17,45.46,,5.32,48.9213448779423,975.82,1101.66,False,0,Buy,Non-Energy Minerals
EICHERMOT,8059.0,14,2.129007730325688,2.71,2.13,56.48,2.08,5.15,126.6370218945093,7869.04,8461.95,False,0,Buy,Consumer Durables
SREEL,249.48,14,12.378378378378374,12.96,12.38,72.55,,8.23,12.37287871578154,230.92,261.95,False,0,Buy,Retail Trade
ROLEXRINGS,180.55,14,30.92820884699058,31.51,30.93,45.75,,13.27,7.2163893434681,169.73,189.58,False,0,Buy,Producer Manufacturing
TTKHLTCARE,1134.2,14,8.509925855058603,9.09,6.06,62.86,,7.21,51.32431404819081,1057.21,1190.91,False,0,Strong buy,Health Technology
PPLPHARMA,218.68,14,12.460786834661876,13.04,10.01,41.77,,6.01,7.318390650690299,207.7,229.61,False,0,Buy,Health Technology
ADOR,1635.6,14,11.80531820356824,12.39,11.81,43.93,,8.28,68.72243887674333,1532.52,1717.38,False,0,Strong buy,Producer Manufacturing
