date,symbol,subject,details,category
04-Jul-2026 09:37:27,HIRECT,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Hind Rectifiers Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended June 30, 2026","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
04-Jul-2026 09:07:53,UNIVCABLES,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Universal Cables Limited has informed the Exchange about Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30th June, 2026.","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
04-Jul-2026 09:00:01,HDFCBANK,Updates,"HDFC Bank Limited has informed the Exchange regarding 'Intimation under SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",Updates
04-Jul-2026 08:48:29,EPL,Acquisition,EPL Limited has informed the Exchange about investment in EPL Packaging (Thailand) Co. Ltd.,Acquisition
03-Jul-2026 23:17:08,CLEANMAX,Sale or disposal,Clean Max Enviro Energy Solutions Limited has informed the Exchange about Sale of equity shares of wholly owned subsidiaries.,Sale or disposal
03-Jul-2026 23:14:07,IKS,Acquisition,Inventurus Knowledge Solutions Limited has informed the Exchange about update on Acquisition.,Acquisition
03-Jul-2026 23:13:23,YESBANK,Updates,"Yes Bank Limited has informed the Exchange regarding 'Intimation under SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",Updates
03-Jul-2026 23:11:23,ONIDA,General Updates,Onida Electronics Limited has informed the Exchange about Grant of Options.,General Updates
03-Jul-2026 23:07:21,ONIDA,Appointment,"Onida Electronics Limited has informed the Exchange regarding Appointment of  Mr. Manish Desai as Chief Financial Officer of the company w.e.f. July 04, 2026.",Appointment
03-Jul-2026 23:05:01,ONIDA,Change in Director(s),Onida Electronics Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
03-Jul-2026 23:04:10,PAYTM,Resignation of Director/KMP/SMP,One 97 Communications Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
03-Jul-2026 23:00:58,ONIDA,Resignation,"Onida Electronics Limited has informed the Exchange regarding Resignation of  Mr. Shirish Suvagia as Executive Director of the company w.e.f. July 03, 2026.",Resignation
03-Jul-2026 22:57:33,ONIDA,Change in Director(s),Onida Electronics Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
03-Jul-2026 22:54:08,PNBHOUSING,Credit Rating,PNB Housing Finance Limited has informed the Exchange about Credit Rating,Credit Rating
03-Jul-2026 22:37:27,KOLTEPATIL,Shareholders meeting,"Kolte - Patil Developers Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 27, 2026",Shareholders meeting
03-Jul-2026 22:30:19,SIS,General Updates,SIS Limited informed the exchange regarding the additional acquisition of equity shares of Updater Services Limited.,General Updates
03-Jul-2026 22:18:38,GUJENERGY,Shareholders meeting,GUJARAT ENERGY LIMITED has informed the Exchange regarding Notice of Postal Ballot,Shareholders meeting
03-Jul-2026 22:16:54,CEATLTD,Credit Rating,CEAT Limited has informed the Exchange about Credit Rating,Credit Rating
03-Jul-2026 22:13:15,GODREJPROP,Action(s) taken or orders passed,Godrej Properties Limited has informed the Exchange about Action(s) taken or orders passed,Action(s) taken or orders passed
03-Jul-2026 22:10:18,ZYDUSWELL,Resignation of Director/KMP/SMP,Zydus Wellness Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
