symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-1.062215477996965,-0.8365019011406845,0.89,3.7,-2.89,-1.95,-4.54,2.05
HDFCBANK,Finance,NIFTY_FIN_SERVICE,0.3193487789605453,7.602928336355686,0.89,3.7,3.23,-0.57,3.9,4.37
BHARTIARTL,Communications,,1.3474801061008006,4.3991474943986,0.89,3.7,,0.46,0.7,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,2.134742021853969,15.698008033445364,0.89,3.7,3.23,1.24,12.0,12.47
SBIN,Finance,NIFTY_FIN_SERVICE,0.0,9.043250327653997,0.89,3.7,3.23,-0.89,5.34,5.81
TCS,Technology Services,NIFTY_IT,-1.8794525684289425,-12.515670706226494,0.89,3.7,-6.62,-2.77,-16.22,-5.9
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,3.533427022686212,16.938775510204092,0.89,3.7,3.23,2.64,13.24,13.71
LT,Industrial Services,NIFTY_ENERGY,-4.288091276444024,0.6423554700192411,0.89,3.7,-2.89,-5.18,-3.06,3.53
LICI,Finance,NIFTY_FIN_SERVICE,1.7139479905437351,7.374594459695535,0.89,3.7,3.23,0.82,3.67,4.14
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,1.8602498843128097,5.219885277246645,0.89,3.7,-1.61,0.97,1.52,6.83
SUNPHARMA,Health Technology,NIFTY_PHARMA,1.8609625668449172,6.951151038742277,0.89,3.7,6.89,0.97,3.25,0.06
MARUTI,Consumer Durables,NIFTY_AUTO,7.546039826321306,10.388812048563086,0.89,3.7,1.88,6.66,6.69,8.51
ADANIPORTS,Transportation,NIFTY_AUTO,3.358517619809193,2.448890346561712,0.89,3.7,1.88,2.47,-1.25,0.57
ADANIPOWER,Utilities,NIFTY_ENERGY,-4.107397639327251,-6.417721518987346,0.89,3.7,-2.89,-5.0,-10.12,-3.53
INFY,Technology Services,NIFTY_IT,-1.6713615023474135,-15.69116818291602,0.89,3.7,-6.62,-2.56,-19.39,-9.07
AXISBANK,Finance,NIFTY_FIN_SERVICE,-3.230225683178324,7.790538912537146,0.89,3.7,3.23,-4.12,4.09,4.56
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,4.086195722618273,8.51689189189189,0.89,3.7,3.23,3.2,4.82,5.29
TITAN,Consumer Durables,NIFTY_AUTO,2.9088811995386474,9.960561991619432,0.89,3.7,1.88,2.02,6.26,8.08
M&M,Consumer Durables,NIFTY_AUTO,1.517799352750812,4.702937249666225,0.89,3.7,1.88,0.63,1.0,2.82
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,-3.1135531135531136,5.07150423728813,0.89,3.7,3.23,-4.0,1.37,1.84
ITC,Consumer Non-Durables,NIFTY_FMCG,-0.1377647666609382,2.6916947051531666,0.89,3.7,-1.61,-1.03,-1.01,4.3
NTPC,Utilities,NIFTY_ENERGY,0.0,-3.151745686727353,0.89,3.7,-2.89,-0.89,-6.85,-0.26
ULTRACEMCO,Non-Energy Minerals,NIFTY_METAL,2.054496387220336,4.856887298747764,0.89,3.7,-7.76,1.16,1.16,12.62
HCLTECH,Technology Services,NIFTY_IT,0.529567519858782,-7.30794270833333,0.89,3.7,-6.62,-0.36,-11.01,-0.69
BEL,Electronic Technology,NIFTY_IT,1.075918762088972,2.46323529411765,0.89,3.7,-6.62,0.19,-1.24,9.08
BAJAJFINSV,Finance,NIFTY_FIN_SERVICE,5.899441340782118,9.005175388154106,0.89,3.7,3.23,5.01,5.31,5.78
JSWSTEEL,Non-Energy Minerals,NIFTY_METAL,0.4490895729566424,-6.44866920152091,0.89,3.7,-7.76,-0.44,-10.15,1.31
ONGC,Energy Minerals,NIFTY_ENERGY,-1.2292358803986745,-10.299830284744475,0.89,3.7,-2.89,-2.12,-14.0,-7.41
HAL,Electronic Technology,NIFTY_IT,1.0034436361148489,3.1055756023745698,0.89,3.7,-6.62,0.11,-0.59,9.73
NESTLEIND,Consumer Non-Durables,NIFTY_FMCG,4.87068965517241,3.9003558718861178,0.89,3.7,-1.61,3.98,0.2,5.51
BAJAJ_AUTO,Consumer Durables,NIFTY_AUTO,0.1074168797953964,-4.819570080731446,0.89,3.7,1.88,-0.78,-8.52,-6.7
DMART,Retail Trade,NIFTY_FMCG,-8.17471264367816,-1.7343600088563065,0.89,3.7,-1.61,-9.06,-5.43,-0.12
ETERNAL,Technology Services,NIFTY_IT,10.885826771653534,13.568548387096763,0.89,3.7,-6.62,10.0,9.87,20.19
COALINDIA,Energy Minerals,NIFTY_ENERGY,-0.8699581968139245,-7.03538885357067,0.89,3.7,-2.89,-1.76,-10.74,-4.15
