symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
ZSARACOM,2026-09-18,10338.0,10400.0,4,4,100.0,0.42,4
THACKER,2026-09-18,949.0,1030.0,21,21,100.0,0.21,7
THAKDEV,2026-09-18,128.15,127.51,6,6,100.0,0.01,1
ALFREDHE,2026-09-18,2820.0,2830.0,52,52,100.0,1.47,11
SURYALA,2026-09-18,400.25,395.0,39,39,100.0,0.15,4
SIMPLXREA,2026-09-18,126.25,124.2,5,5,100.0,0.01,4
SUNLOC,2026-09-18,73.49,73.49,1,1,100.0,0.0,1
PML,2026-09-18,495.05,496.15,41,41,100.0,0.2,13
SAICAPI,2026-09-18,158.99,158.4,140,140,100.0,0.22,13
METROGLOBL,2026-09-18,134.5,132.01,59,59,100.0,0.08,3
SAYAJIHOTL,2026-09-18,319.1,319.0,52,52,100.0,0.16,2
ARYAMAN,2026-09-18,610.0,629.25,138,138,100.0,0.87,78
MONEYBOXX,2026-09-18,51.9,54.49,24084,24084,100.0,13.12,38
SAYAJIIND,2026-09-18,113.0,115.0,510,510,100.0,0.56,108
SAB,2026-09-18,174.18,174.15,29,29,100.0,0.05,1
UPHOT,2026-09-18,1480.0,1500.0,121,121,100.0,1.79,13
RHETAN,2026-09-18,20.59,19.57,614120,614120,100.0,120.18,1367
PANCHMAHQ,2026-09-18,295.0,296.4,38,38,100.0,0.11,10
PACIFICI,2026-09-18,148.5,147.99,1,1,100.0,0.0,1
ONIXSOLAR,2026-09-18,376.2,357.4,6099,6099,100.0,21.8,80
PALREDTEC,2026-09-18,46.01,46.1,161,161,100.0,0.07,6
MUKESHB,2026-09-18,133.0,133.0,1,1,100.0,0.0,1
NEAGI,2026-09-18,3308.0,3308.0,1,1,100.0,0.03,1
SHYAMTEL,2026-09-18,11.09,11.4,2221,2221,100.0,0.25,6
LCCINFOTEC,2026-09-18,3.28,3.44,47268,47268,100.0,1.63,24
ASSAMENT,2026-09-18,780.0,780.0,1,1,100.0,0.01,1
LAKSHMIMIL,2026-09-18,7968.5,7654.0,1,1,100.0,0.08,1
KANCOTEA,2026-09-18,55.62,55.62,1,1,100.0,0.0,1
KHANDSE,2026-09-18,17.58,18.09,894,894,100.0,0.16,18
STLNETWORK,2026-09-18,40.91,42.95,1250147,1250040,99.99,536.94,1463
SAMBANDAM,2026-09-18,101.51,100.0,1107,1106,99.91,1.13,35
EMPOWER,2026-09-18,2.5,2.38,1202346,1200846,99.88,28.62,1105
COMPEAU,2026-09-18,360.0,365.0,714,713,99.86,2.58,9
NICCOPAR,2026-09-18,82.0,80.45,5480,5466,99.74,4.4,39
INSPIRISYS,2026-09-18,84.44,83.16,2161,2154,99.68,1.82,51
WEIZMANIND,2026-09-18,71.24,71.48,282,281,99.65,0.2,5
MEGASTAR,2026-09-18,278.75,281.8,17638,17508,99.26,49.58,60
NBIFIN,2026-09-18,1960.1,1970.8,5088,5045,99.15,99.13,37
CRESTO,2026-09-18,15.88,16.39,6035,5980,99.09,0.99,61
