symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
IREDA,2026-07-13,126.4,124.81,3752022,1053799,28.09,4675.29,22367
LODHA,2026-07-13,1220.75,1198.65,2250980,631514,28.06,26968.24,80784
KAYNES,2026-07-13,3336.1,3319.5,796963,222567,27.93,26308.43,51521
NIACL,2026-07-13,183.92,181.82,1078709,299491,27.76,1956.06,15390
AEGISVOPAK,2026-07-13,283.18,303.3,5506049,1498161,27.21,16584.03,70784
SOLARINDS,2026-07-13,18236.0,18156.0,108258,28166,26.02,19637.5,32010
SUMICHEM,2026-07-13,513.7,531.9,2041964,529688,25.94,10748.5,37462
GODREJIND,2026-07-13,1417.7,1382.4,572484,141546,24.72,7937.35,34838
IFCI,2026-07-13,77.46,76.46,13642739,3370322,24.7,10444.17,36959
ATGL,2026-07-13,723.9,720.95,1509844,372643,24.68,10934.59,32612
ADANIENSOL,2026-07-13,1654.0,1644.6,1062110,260576,24.53,17533.09,43152
LTF,2026-07-13,321.25,324.7,21524893,5114478,23.76,70613.7,146835
MRPL,2026-07-13,162.49,164.74,22735229,5359351,23.57,37917.05,120650
NBCC,2026-07-13,99.98,101.49,13918087,3231534,23.22,14062.74,49482
NETWEB,2026-07-13,4305.0,4400.0,962104,221994,23.07,41513.76,71261
AFFLE,2026-07-13,1480.4,1539.3,1550428,349347,22.53,24194.27,90901
LTM,2026-07-13,4037.2,4124.3,1835497,377539,20.57,75437.19,116436
CUPID,2026-07-13,212.24,206.83,60588172,12139891,20.04,127025.79,293007
PWL,2026-07-13,147.43,142.62,5707220,1004503,17.6,8215.4,29587
ADANIGREEN,2026-07-13,1536.6,1546.5,2868246,422855,14.74,44660.34,71238
KALYANKJIL,2026-07-13,476.15,510.65,154485625,20729811,13.42,789238.12,892993
