symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-1.0736196319018405,1.0180109631949883,-1.36,1.88,1.2,0.29,-0.86,-0.18
HDFCBANK,Finance,NIFTY_FIN_SERVICE,0.7950310559006183,7.512919040678405,-1.36,1.88,6.03,2.16,5.63,1.48
BHARTIARTL,Communications,,-1.659015025041734,5.661434977578475,-1.36,1.88,,-0.3,3.78,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,-0.8498583569405099,5.2631578947368425,-1.36,1.88,6.03,0.51,3.38,-0.77
SBIN,Finance,NIFTY_FIN_SERVICE,-0.8254151070160415,1.5029469548133552,-1.36,1.88,6.03,0.53,-0.38,-4.53
TCS,Technology Services,NIFTY_IT,4.444976076555029,1.530232558139539,-1.36,1.88,4.41,5.8,-0.35,-2.88
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,-3.173076923076923,14.275987290059003,-1.36,1.88,6.03,-1.81,12.4,8.25
LICI,Finance,NIFTY_FIN_SERVICE,2.279069767441863,11.032567533451148,-1.36,1.88,6.03,3.64,9.15,5.0
LT,Industrial Services,NIFTY_ENERGY,-3.369168508081531,-0.9669211195928752,-1.36,1.88,1.2,-2.01,-2.85,-2.17
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,-3.5012033967576364,-1.2179248791372177,-1.36,1.88,0.15,-2.14,-3.1,-1.37
SUNPHARMA,Health Technology,NIFTY_PHARMA,0.315126050420168,5.70005534034311,-1.36,1.88,5.17,1.68,3.82,0.53
MARUTI,Consumer Durables,NIFTY_AUTO,-5.0808475048787285,2.9247279322853688,-1.36,1.88,3.74,-3.72,1.04,-0.82
INFY,Technology Services,NIFTY_IT,5.494714789067713,-1.0892857142857184,-1.36,1.88,4.41,6.85,-2.97,-5.5
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,-1.8606811145510809,7.134649182100849,-1.36,1.88,6.03,-0.5,5.25,1.1
ADANIPOWER,Utilities,NIFTY_ENERGY,-2.894973070017961,-0.95678447170848,-1.36,1.88,1.2,-1.53,-2.84,-2.16
ADANIPORTS,Transportation,NIFTY_AUTO,-2.856685177274669,0.848115299334809,-1.36,1.88,3.74,-1.5,-1.03,-2.89
AXISBANK,Finance,NIFTY_FIN_SERVICE,-2.625949693885088,-0.8933933933934002,-1.36,1.88,6.03,-1.27,-2.77,-6.92
TITAN,Consumer Durables,NIFTY_AUTO,2.916853932584274,12.586656177786518,-1.36,1.88,3.74,4.28,10.71,8.85
M&M,Consumer Durables,NIFTY_AUTO,-1.168498052503249,3.17014313576411,-1.36,1.88,3.74,0.19,1.29,-0.57
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,-1.603592046183451,-3.5826524198617222,-1.36,1.88,6.03,-0.24,-5.46,-9.61
ITC,Consumer Non-Durables,NIFTY_FMCG,-3.690291429556817,-1.5164873919943611,-1.36,1.88,0.15,-2.33,-3.4,-1.67
ULTRACEMCO,Non-Energy Minerals,NIFTY_METAL,-2.226392561630982,4.675799086757991,-1.36,1.88,-1.31,-0.87,2.8,5.99
