index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,14-Jul-2026,24068.0,2172205,3511074,1.62,24200,19.26
BANKNIFTY,28-Jul-2026,57832.55,462892,449802,0.97,58100,15.79
