identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY14-07-2026CE24200.00,Index Options,NIFTY,14-Jul-2026,Call,24200,91.4,10701005,502267.7211825,129940,24068,-9.639149777558082
OPTIDXNIFTY14-07-2026PE24000.00,Index Options,NIFTY,14-Jul-2026,Put,24000,27.9,8686563,270399.6763455,290322,24068,-20.285714285714285
OPTIDXNIFTY14-07-2026PE24100.00,Index Options,NIFTY,14-Jul-2026,Put,24100,42.9,7719651,375229.076157,198542,24068,-25.906735751295336
OPTIDXNIFTY14-07-2026CE24300.00,Index Options,NIFTY,14-Jul-2026,Call,24300,42.95,7457321,178282.173147,143462,24068,-24.649122807017545
OPTIDXNIFTY14-07-2026CE24250.00,Index Options,NIFTY,14-Jul-2026,Call,24250,64.4,6996235,248432.8067325,93884,24068,-16.091205211726383
OPTIDXNIFTY14-07-2026PE24200.00,Index Options,NIFTY,14-Jul-2026,Put,24200,72.7,6969328,468635.03804,181614,24068,-24.467532467532468
OPTIDXNIFTY14-07-2026CE24100.00,Index Options,NIFTY,14-Jul-2026,Call,24100,161.45,6410284,432793.52940199996,47823,24068,-1.0116492949110976
OPTIDXNIFTY14-07-2026CE24150.00,Index Options,NIFTY,14-Jul-2026,Call,24150,124.4,6234428,351786.951542,58480,24068,-4.747320061255743
OPTIDXNIFTY14-07-2026CE24400.00,Index Options,NIFTY,14-Jul-2026,Call,24400,17.1,5499462,61769.957184,126921,24068,-41.935483870967744
OPTIDXNIFTY14-07-2026PE24150.00,Index Options,NIFTY,14-Jul-2026,Put,24150,54.9,5247464,302303.777308,152896,24068,-26.65330661322645
OPTIDXNIFTY14-07-2026CE24500.00,Index Options,NIFTY,14-Jul-2026,Call,24500,6.1,5054741,25660.3926865,264971,24068,-58.3617747440273
OPTIDXNIFTY14-07-2026PE24050.00,Index Options,NIFTY,14-Jul-2026,Put,24050,34.55,4736157,188650.60562400002,130860,24068,-23.136818687430477
OPTIDXNIFTY14-07-2026CE24350.00,Index Options,NIFTY,14-Jul-2026,Call,24350,27.1,4242682,71011.889975,77487,24068,-34.54106280193237
OPTIDXNIFTY14-07-2026PE23900.00,Index Options,NIFTY,14-Jul-2026,Put,23900,18.55,4006560,69716.14728,135941,24068,-15.102974828375286
OPTIDXNIFTY14-07-2026CE24000.00,Index Options,NIFTY,14-Jul-2026,Call,24000,245.0,3386898,325291.231512,48807,24068,2.1471753179070254
OPTIDXNIFTY14-07-2026PE23800.00,Index Options,NIFTY,14-Jul-2026,Put,23800,11.15,3313914,34163.139426,155626,24068,-21.75438596491228
OPTIDXNIFTY14-07-2026CE24450.00,Index Options,NIFTY,14-Jul-2026,Call,24450,9.9,3090101,23038.2480055,83508,24068,-52.51798561151079
OPTIDXNIFTY14-07-2026CE24050.00,Index Options,NIFTY,14-Jul-2026,Call,24050,203.0,3036671,230484.8472355,17757,24068,1.6270337922403004
OPTIDXNIFTY14-07-2026PE23950.00,Index Options,NIFTY,14-Jul-2026,Put,23950,22.75,2982803,69177.167176,98647,24068,-16.513761467889907
OPTIDXNIFTY14-07-2026CE24600.00,Index Options,NIFTY,14-Jul-2026,Call,24600,2.8,2964763,7072.4421365,126273,24068,-62.16216216216216
