symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
DMART,81004,63850,17154,26.87,159146,126904.34752,84510557671,11447.05171,3994
BDL,46669,38481,8188,21.28,46154,47746.11946,21484704626,4191.20626,1301
KALYANKJIL,97699,84073,13626,16.21,371172,244076.33826,235878630025,105013.68025,511
HCLTECH,163281,141447,21834,15.44,279521,131279.52612,124798901176,25884.53176,1224
NIFTY,9706818,8440213,1266605,15.01,159711069,854966.29245,250910073912368,5620745.43368,24211
OFSS,30171,26551,3620,13.63,58181,77184.1799,61203217311,13805.94311,11730
NIFTYNXT50,1025,906,119,13.13,420,2665.57874,507762743,33.50243,72111
ICICIGI,23996,21250,2746,12.92,31060,33506.08001,14892297332,2870.96332,1791
LTF,43712,39269,4443,11.31,120676,92016.6183,82353263962,15606.23962,324
PAYTM,61668,55548,6120,11.02,76778,88369.60054,69564237511,20609.95511,1386
BIOCON,37080,33579,3501,10.43,37468,104920.658,28923254225,5923.66725,413
HAVELLS,40389,36661,3728,10.17,20541,27375.22655,9794575375,1743.70375,1180
BLUESTARCO,17984,16344,1640,10.03,25100,19687.43523,12070822250,2019.7825,1712
PGEL,27913,25599,2314,9.04,68336,41302.44139,35215655041,9811.89041,597
FINNIFTY,7253,6658,595,8.94,11127,3340.27699,17904991180,1538.5018,26836
AMBER,30237,27791,2446,8.8,37105,30818.55649,26586492471,5267.62471,7779
WAAREEENER,73213,67316,5897,8.76,19306,42917.03087,5652782210,1060.1721,2878
360ONE,17049,15705,1344,8.56,9083,12941.0039,3894075395,696.35395,1119
ALKEM,15913,14675,1238,8.44,5643,12245.44003,2827320430,331.8293,5568
PIIND,30941,28643,2298,8.02,8853,8474.00832,3293756203,618.75453,2572
VMM,12406,11499,907,7.89,2751,5367.60897,1070173355,196.19705,116
LTM,55622,51583,4039,7.83,171524,110075.12488,97807873476,20666.60976,4128
GRASIM,70078,65281,4797,7.35,34683,48321.7523,23150045220,2619.2022,3126
KFINTECH,21337,19880,1457,7.33,24319,19706.4207,11114839861,2417.79611,928
BAJAJ-AUTO,67778,63157,4621,7.32,93140,117261.28245,61330719974,9107.94974,10410
UNIONBANK,53294,49670,3624,7.3,61873,78848.21124,39812596902,9907.33339,170
ASIANPAINT,65110,60746,4364,7.18,32813,28800.33442,19321001177,2394.16177,2649
EICHERMOT,84509,79105,5404,6.83,29690,40545.97489,18031912548,2580.37548,7315
IREDA,26001,24347,1654,6.79,6435,12984.18432,2397254816,435.82854,124
MAZDOCK,44631,41794,2837,6.79,15470,17951.00872,6856190991,1258.73991,2402
KEI,19412,18230,1182,6.48,7826,26905.53451,4523070112,916.32612,5110
OIL,23644,22240,1404,6.31,13468,11037.57984,7185178000,1001.28,431
HDFCAMC,31257,29406,1851,6.29,23058,30131.32584,16384913070,3160.1247,2741
INOXWIND,31802,29932,1870,6.25,11163,12607.6032,4949532864,799.20064,81
MOTILALOFS,10738,10130,608,6.0,4731,10438.30698,2636971956,473.63706,981
MPHASIS,27426,25890,1536,5.93,16164,23287.10576,8483413512,2171.80262,2391
CONCOR,30585,28894,1691,5.85,10619,16544.22175,4673109125,928.15375,469
FEDERALBNK,55288,52264,3024,5.79,29947,28249.75175,23030052875,3607.02875,333
NESTLEIND,39717,37579,2138,5.69,15482,27885.45315,8506265510,1297.7551,1432
NAM-INDIA,14204,13452,752,5.59,7156,5533.19325,4524776943,400.01943,1220
BANDHANBNK,47284,44782,2502,5.59,26272,30867.24492,17473924512,4457.71512,212
GODREJPROP,47608,45168,2440,5.4,37330,34649.91653,22714414914,4680.93414,2165
PNBHOUSING,18873,17911,962,5.37,13291,18886.79695,8076702003,1750.03003,1122
BHARTIARTL,191838,182538,9300,5.09,66731,87856.07115,52347030815,5213.00815,1903
ZYDUSLIFE,20189,19211,978,5.09,8207,14099.06556,7241526504,1208.43504,1131
LODHA,46838,44577,2261,5.07,24258,43868.09725,13634984843,2721.28593,1199
JUBLFOOD,32647,31092,1555,5.0,16374,11470.76812,8096430725,1306.86975,432
INFY,546447,521025,25422,4.88,379763,246102.9698,145260816096,28626.92096,1102
