date,symbol,subject,details,category
14-Jul-2026 08:39:30,BTML,Press Release,"Bodhi Tree Multimedia Limited has informed the Exchange regarding a press release dated July 14, 2026, titled ""Press Release pursuant to Regulation 30 of SEBI (LODR) Regulation s, 2015. "".",Press Release
14-Jul-2026 08:38:00,WELCORP,Bagging/Receiving of orders/contracts,Welspun Corp Limited has informed the Exchange about Bagging/Receiving of orders/contracts,Bagging/Receiving of orders/contracts
14-Jul-2026 06:47:22,SIGMAADV,Press Release,"SIGMA ADVANCED SYSTEMS LIMITED has informed the Exchange regarding a press noted dated July 14, 2026, titled ""Defense and Aerospace major, Sigma Advanced Systems, Acquires UK based Bromford Precision Solutions for INR 153 crores"".",Press Release
14-Jul-2026 06:41:14,SIGMAADV,Agreements,SIGMA ADVANCED SYSTEMS LIMITED has informed the Exchange about Agreements : Company has signed a Share Purchase Agreement for Acquisition of 100% Stake(Shareholding) in Bromford Precision Solutions Limited in the United Kingdom - Disclosure pursuant to Regulation 30 of Securities and Exchanges Board,Agreements
14-Jul-2026 00:08:00,UNIVPHOTO,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Universus Photo Imagings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
13-Jul-2026 23:35:44,BLUESTARCO,Shareholders meeting,"Blue Star Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 06, 2026",Shareholders meeting
13-Jul-2026 23:29:50,SEDEMAC,ESOP/ESOS/ESPS,SEDEMAC Mechatronics Limited has informed the Exchange regarding Allotment of 3000  Shares.,ESOP/ESOS/ESPS
13-Jul-2026 23:28:34,BLUESTARCO,General Updates,"Intimation under Regulations 30 and 36 of the Securities and Exchange Boardof India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (""SEBI Listing Regulations"") - Letter to Members",General Updates
13-Jul-2026 23:28:13,GODREJCP,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Godrej Consumer Products Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
13-Jul-2026 23:26:07,BLUESTARCO,General Updates,Blue Star Limited has informed the Exchange about Business Responsibility and Sustainability Report for the Financial Year 2025-26,General Updates
13-Jul-2026 23:18:24,ALOKINDS,General Updates,"Grabal Alok (UK) Limited ( GAL ), a step-down subsidiary of the Company, incorporatedin the United Kingdom, has been dissolved effective July 11, 2026. Accordingly, GAL hasceased to be a subsidiary of the Company with effect from the aforesaid date.",General Updates
13-Jul-2026 23:12:37,BLUESTARCO,Shareholders meeting,"Blue Star Limited has informed the Exchange regarding Notice of undefined to be held on August 06, 2026",Shareholders meeting
13-Jul-2026 23:11:05,HCLTECH,Analysts/Institutional Investor Meet/Con. Call Updates,"HCL Technologies Limited has informed the Exchange about the Audio recording of the Conference Call held on July 13, 2026.",Analysts/Institutional Investor Meet/Con. Call Updates
13-Jul-2026 23:04:30,PALASHSECU,Updates,"Palash Securities Limited has informed the Exchange regarding 'Letter to Shareholders in terms of Regulation 36(1)(b) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",Updates
13-Jul-2026 23:04:18,UJJIVANSFB,General Updates,Ujjivan Small Finance Bank Limited has informed the Exchange about ESG Rating received from SES ESG Research Pvt. Ltd.,General Updates
13-Jul-2026 22:45:09,KARURVYSYA,Shareholders meeting,"Karur Vysya Bank Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 05, 2026",Shareholders meeting
13-Jul-2026 22:44:32,BALAMINES,Shareholders meeting,"Balaji Amines Limited has submitted the Exchange Outcome of the 38th Annual General Meeting of the Company held on Friday 10th July, 2026 at 12:00 (Noon) Through Video Conferencing (VC) or Other Audio Visual Means (OAVM) along with Scrutinizer's Report and Voting Results",Shareholders meeting
13-Jul-2026 22:35:41,ONELIFECAP,Shareholders meeting,"Onelife Capital Advisors Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
13-Jul-2026 22:32:18,ONELIFECAP,Shareholders meeting,"Onelife Capital Advisors Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results.",Shareholders meeting
13-Jul-2026 22:30:52,KARURVYSYA,General Updates,Karur Vysya Bank Limited has informed the Exchange about Business Responsibility and Sustainability Report.,General Updates
