symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,231.99,194.05,182.0,,,,False,162004.5,0.407,4.199,,4432
21STCENMGM,41.84,37.36,33.06,,,,False,3099.2,1.011,4.625,,2151
360ONE,1208.0,1037.1,1037.1,,,,False,912171.65,1.487,6.19,,1740
3BBLACKBIO,1588.9,1283.2,1099.5,,,,False,18436.25,0.378,4.696,,111
3IINFOLTD,26.27,21.7,18.07,,,,False,273337.8,0.988,4.807,,5292
3MINDIA,35095.0,31500.0,31500.0,,,,False,4191.0,0.384,3.899,,6017
3PLAND,34.88,28.51,28.51,,,,False,7642.9,0.04,4.07,,4572
5PAISA,372.5,305.15,305.15,,,,False,42916.15,0.607,7.162,,2191
63MOONS,945.0,744.95,677.0,,,,False,522864.9,1.074,4.29,,5252
A2ZINFRA,17.12,14.52,12.0,,,,False,207944.95,1.139,3.852,,3889
AAATECH,98.4,83.8,83.8,,,,False,67025.9,1.921,3.701,,1453
AADHARHFC,488.0,440.15,440.15,,,,False,329541.1,0.556,3.488,,590
AAKASH,9.98,8.18,8.06,,,,False,131390.5,2.196,3.859,,2069
AAREYDRUGS,103.99,80.02,73.41,,,,False,260417.25,1.348,5.705,,1271
AARNAV,35.09,28.32,26.4,,,,True,15122.6,4.229,3.44,,143
AARON,142.0,115.0,111.15,,,,False,15020.25,3.236,3.348,,1981
AARTECH,53.48,47.15,44.85,,,,False,41365.15,0.88,3.133,,795
AARTIDRUGS,450.2,409.95,401.0,450.2,409.95,20.0,False,159063.2,2.439,2.853,-2.876,5702
AARTIIND,543.0,459.55,459.55,,,,False,559718.25,0.52,5.924,,6023
AARTIPHARM,957.3,765.0,650.8,,,,False,764415.5,1.047,4.788,,906
AARTISURF,554.9,487.0,374.3,554.9,487.0,20.0,False,16432.4,0.633,2.725,-6.875,1538
AARVI,155.38,134.5,134.5,,,,False,16351.55,0.529,5.3,,2216
AASTHA,96.0,71.72,70.0,,,,False,959480.6,3.853,4.814,,59
