index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,29-Sep-2026,23140.5,3302160.7692307695,3056034.3846153845,0.93,23250,11.5
BANKNIFTY,29-Sep-2026,55580.4,660830.0,521870.0,0.79,56500,12.54
