symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
ADOR,1638.9,14,4.388535031847139,9.3,4.39,41.46,,8.06,59.55784578680715,1549.56,1720.85,False,0,Buy,Producer Manufacturing
LGEINDIA,1725.4,14,1.7935103244837811,6.7,1.79,48.46,,9.14,42.79960572699387,1661.2,1811.67,False,0,Strong buy,Consumer Durables
GILLANDERS,108.69,14,0.6388888888888867,5.55,0.64,94.58,,19.05,5.42914354087857,100.55,114.12,False,0,Strong buy,Consumer Non-Durables
PHOENIXLTD,1978.4,14,2.13732576148684,7.05,2.14,56.11,13.89,9.67,51.951818596334114,1900.47,2077.32,False,0,Buy,Finance
RAMRAT,570.0,14,16.3265306122449,21.24,16.33,41.16,,5.69,25.41309700147092,531.88,598.5,False,0,Strong buy,Producer Manufacturing
SONACOMS,824.5,14,1.9411473788328448,6.85,1.94,51.33,12.12,2.37,22.43811577004482,790.84,865.72,False,0,Buy,Producer Manufacturing
YASHO,4234.1,14,0.6680932001902131,5.58,0.67,44.64,,17.95,225.1062094775096,3896.44,4445.8,False,0,Buy,Consumer Non-Durables
ORIENTBELL,407.55,14,8.318936877076414,13.23,8.32,60.21,,6.72,16.456064731622792,382.87,427.93,False,0,Buy,Producer Manufacturing
TSFINV,456.85,14,11.97303921568628,16.88,11.97,67.42,,53.55,12.921777457615717,437.47,479.69,False,0,Buy,Finance
TORNTPHARM,4988.5,14,1.7023445463812437,6.61,0.05,65.31,18.19,8.67,105.3414840057081,4830.49,5237.92,False,0,Strong buy,Health Technology
DVL,289.75,14,2.566371681415929,7.48,2.57,46.67,,29.73,11.832675957459594,272.0,304.24,False,0,Buy,Consumer Non-Durables
APOLLOHOSP,8889.0,13,0.503137543105885,5.41,-1.15,71.36,14.61,13.48,156.7624752383159,8653.86,9333.45,False,0,Buy,Health Services
LUMAXTECH,2026.8,13,4.9014026189120665,9.81,4.9,46.37,,20.11,82.88881805679635,1902.47,2128.14,False,0,Buy,Producer Manufacturing
ZYDUSLIFE,1203.9,13,6.785524215007983,11.7,5.14,41.98,17.46,0.75,28.614158016594683,1160.98,1264.1,False,0,Strong buy,Health Technology
UNIDT,241.71,13,8.254209960587605,13.16,8.25,61.52,,12.53,16.748966330800005,216.59,253.8,False,0,Buy,Industrial Services
SATIN,236.65,13,7.56818181818182,12.48,7.57,53.79,,17.05,7.622584259668228,225.22,248.48,False,0,Strong buy,Finance
WINDLAS,1102.55,13,11.228247162673387,16.14,9.58,43.45,,7.2,43.24912055324371,1037.68,1157.68,False,0,Buy,Health Technology
LENSKART,680.25,13,2.679245283018868,7.59,1.03,55.41,,6.58,20.77186665143878,649.09,714.26,False,0,Buy,Health Technology
VINDHYATEL,2719.8,13,14.229315413691731,19.14,14.23,40.36,,8.56,138.30324939445822,2512.35,2855.79,False,0,Buy,Industrial Services
PRABHA,230.87,13,12.051058046981176,16.96,12.05,55.59,,13.83,13.15530690827094,211.14,242.41,False,0,Buy,Energy Minerals
