index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,04-Aug-2026,24620.25,2947434,3615706,1.23,24600,7.97
BANKNIFTY,25-Aug-2026,57822.5,393934,349916,0.89,57800,10.26
