index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,25-Aug-2026,24078.3,3068579,2152036,0.7,24200,9.25
BANKNIFTY,25-Aug-2026,57239.75,643160,454969,0.71,57500,11.87
