date,symbol,subject,details,category
19-Aug-2026 18:07:11,SHK,Outcome of Board Meeting,"S H Kelkar and Company Limited has informed the Exchange regarding Appointment of Mr. Ranjeet Agrawal as Executive Vice President - Sales (India Subcontinent) and Senior Management Personnel of the Company with effect from August 20, 2026",Outcome of Board Meeting
19-Aug-2026 18:06:47,CSBBANK,Analysts/Institutional Investor Meet/Con. Call Updates,CSB Bank Limited has informed the Exchange about Analysts/Institutional Investor Meet/Con. Call Updates,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 18:05:07,SAMBHV,Analysts/Institutional Investor Meet/Con. Call Updates,Sambhv Steel Tubes Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 18:04:19,DSKULKARNI,Shareholders meeting,"DS Kulkarni Developers Limited has informed the Exchange regarding Notice of 35th Annual General Meeting to be held on September 10, 2026",Shareholders meeting
19-Aug-2026 18:03:59,GAUDIUMIVF,Analysts/Institutional Investor Meet/Con. Call Updates,"Gaudium IVF and Women Health Limited has informed the Exchange about Transcript of Earnings Call on Unaudited Standalone and Consolidated Financial Results for the quarter ended June 30, 2026.",Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 18:02:39,CAPLIPOINT,Analysts/Institutional Investor Meet/Con. Call Updates,Caplin Point Laboratories Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 18:02:38,SAMBHV,Copy of Newspaper Publication,Sambhv Steel Tubes Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
19-Aug-2026 18:01:50,TEGA,Trading Window,"Tega Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",Trading Window
19-Aug-2026 18:00:38,UFO,Shareholders meeting,"UFO Moviez India Limited has informed the Exchange regarding Proceedings/Outcome of 22nd Annual General Meeting held on August 19, 2026",Shareholders meeting
19-Aug-2026 18:00:36,APOLLOHOSP,Analysts/Institutional Investor Meet/Con. Call Updates,Apollo Hospitals Enterprise Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 17:59:07,ASALCBR,Updates,Associated Alcohols & Breweries Ltd. has informed the Exchange regarding 'letter containing weblink of 37th Annual Report 2025-26  '.,Updates
19-Aug-2026 17:58:33,OAL,Shareholders meeting,"Oriental Aromatics Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 18, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
19-Aug-2026 17:58:30,RACLGEAR,Analysts/Institutional Investor Meet/Con. Call Updates,RACL Geartech Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 17:57:48,SAIPARENT,General Updates,Sai Parenterals Limited has informed the Exchange about Intimation of Book closure and cutoff date for the 25th Annual General Meeting,General Updates
19-Aug-2026 17:57:15,DCMSHRIRAM,Shareholders meeting,"DCM Shriram Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 18, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
19-Aug-2026 17:56:31,NAM-INDIA,Analysts/Institutional Investor Meet/Con. Call Updates,Nippon Life India Asset Management Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 17:56:31,NAM-INDIA,Analysts/Institutional Investor Meet/Con. Call Updates,Nippon Life India Asset Management Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
19-Aug-2026 17:56:07,KIRIINDUS,Spurt in Volume,"Significant increase in volume has been observed in Kiri Industries Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The respons",Spurt in Volume
19-Aug-2026 17:56:00,NILKAMAL,Spurt in Volume,"Significant increase in volume has been observed in Nilkamal Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The response from ",Spurt in Volume
19-Aug-2026 17:55:53,RACLGEAR,Spurt in Volume,"Significant increase in volume has been observed in RACL Geartech Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The response ",Spurt in Volume
