symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
TIINDIA,32383,19376,13007,67.13,308713,54229.70514,179338601656,26957.01656,2959
BOSCHLTD,59242,44536,14706,33.02,194085,52221.60809,231170662047,14467.12047,48730
NIFTY,11366053,9212765,2153288,23.37,273926903,714072.19616,431959877741127,4473829.38127,24154
COLPAL,48592,41158,7434,18.06,70024,29248.23082,34888085306,3618.51806,1903
FINNIFTY,31990,27430,4560,16.62,76178,1351.76158,120599487445,3598.08445,26108
SONACOMS,25032,22397,2635,11.76,35444,53172.19087,30884469148,4088.57898,824
INOXWIND,36926,33407,3519,10.53,26796,24008.21952,11049083008,1718.44608,74
SBICARD,57508,52397,5111,9.75,31760,30980.85816,13119124392,1455.88392,615
MCX,96759,89417,7342,8.21,243445,93410.36856,158882353672,24465.47422,3040
PAGEIND,39159,36439,2720,7.46,54969,17831.17274,40289306407,2207.36407,36425
BANKNIFTY,1442954,1346081,96873,7.2,2989162,283263.61518,5162534121872,249685.17872,57262
KFINTECH,20856,19488,1368,7.02,21476,22245.92039,9697472088,1109.68588,957
CAMS,24363,22921,1442,6.29,14717,10793.80879,8516585236,761.91736,762
DIXON,134446,126957,7489,5.9,232178,80573.92947,160856196460,18073.0396,14150
OIL,20387,19276,1111,5.76,33916,16297.05238,21863178820,3206.7882,480
VOLTAS,73565,69585,3980,5.72,82117,35584.42057,36387906041,3939.51041,1252
APLAPOLLO,35835,33950,1885,5.55,26076,37186.17325,15408446389,1489.85389,2115
BRITANNIA,35008,33187,1821,5.49,22259,17014.59032,13971182190,813.6344,5495
MIDCPNIFTY,136127,129256,6871,5.32,244755,29120.38114,437596311270,16781.6427,14840
FORCEMOT,28236,26879,1357,5.05,28881,10669.34301,12360687926,755.87926,18200
IREDA,44695,42604,2091,4.91,11323,17536.37052,4348477080,693.31642,115
TMPV,127355,121416,5939,4.89,70849,41359.50864,34243729568,3552.01568,322
IRFC,48351,46213,2138,4.63,12278,14816.75783,4465145961,491.57986,86
LTM,41156,39354,1802,4.58,31970,42533.48517,18330476119,2429.96119,4562
DRREDDY,63238,60530,2708,4.47,21850,50274.59937,11328551756,1036.51756,1178
VMM,17295,16609,686,4.13,5903,13227.43361,1789672698,187.55823,103
ASIANPAINT,74539,71605,2934,4.1,71409,49446.11055,43293169530,3331.1453,2628
LUPIN,54405,52344,2061,3.94,22169,15304.23172,20379883759,1220.29259,2232
BLUESTARCO,34334,33075,1259,3.81,17551,9858.98881,7900245340,757.4684,1493
ONGC,70972,68386,2586,3.78,57805,33231.14437,28405555897,2656.72147,239
PRESTIGE,22413,21601,812,3.76,14802,14758.37649,9295148952,1098.92952,1590
LTF,39874,38431,1443,3.75,70917,76705.24297,44299655775,5991.43275,325
NHPC,37935,36583,1352,3.7,8143,16806.28289,2718537675,242.24225,76
BSE,194577,187994,6583,3.5,341049,155646.72798,216583621474,26563.41474,3308
