symbol,yf_ticker,reason
ADDIND,ADDIND.NS,no_ohlc_after_retry
ADVIKCA,ADVIKCA.NS,no_ohlc_after_retry
ALUFLUOR,ALUFLUOR.NS,no_ohlc_after_retry
AMAL,AMAL.NS,no_ohlc_after_retry
AMARJOTHI,AMARJOTHI.NS,no_ohlc_after_retry
ANAWIL,ANAWIL.NS,no_ohlc_after_retry
ANDREWYU,ANDREWYU.NS,no_ohlc_after_retry
ANSALBU,ANSALBU.NS,no_ohlc_after_retry
ARCL,ARCL.NS,no_ohlc_after_retry
ARYAMAN,ARYAMAN.NS,no_ohlc_after_retry
ASIANTNE,ASIANTNE.NS,no_ohlc_after_retry
ASSAMENT,ASSAMENT.NS,no_ohlc_after_retry
AUSTENG,AUSTENG.NS,no_ohlc_after_retry
AVANCE,AVANCE.NS,no_ohlc_after_retry
AVATAR,AVATAR.NS,no_ohlc_after_retry
AXTEL,AXTEL.NS,no_ohlc_after_retry
AZADIND,AZADIND.NS,no_ohlc_after_retry
BENARAS,BENARAS.NS,no_ohlc_after_retry
BLUECLOUDS,BLUECLOUDS.NS,no_ohlc_after_retry
BPLPHARMA,BPLPHARMA.NS,no_ohlc_after_retry
BRAHMINFRA,BRAHMINFRA.NS,no_ohlc_after_retry
CFEL,CFEL.NS,no_ohlc_after_retry
CGVAK,CGVAK.NS,no_ohlc_after_retry
CHEMCRUX,CHEMCRUX.NS,no_ohlc_after_retry
COMPEAU,COMPEAU.NS,no_ohlc_after_retry
CRAVATEX,CRAVATEX.NS,no_ohlc_after_retry
CRSL,CRSL.NS,no_ohlc_after_retry
DEEP,DEEP.NS,no_ohlc_after_retry
DHABRIYA,DHABRIYA.NS,no_ohlc_after_retry
DHATRE,DHATRE.NS,no_ohlc_after_retry
DIRL,DIRL.NS,no_ohlc_after_retry
EASTWEST,EASTWEST.NS,no_ohlc_after_retry
EBIX,EBIX.NS,no_ohlc_after_retry
ECORECO,ECORECO.NS,no_ohlc_after_retry
EMPIND,EMPIND.NS,no_ohlc_after_retry
ENKEIWHEL,ENKEIWHEL.NS,no_ohlc_after_retry
FREDUN,FREDUN.NS,no_ohlc_after_retry
GKB,GKB.NS,no_ohlc_after_retry
HAMPTON,HAMPTON.NS,no_ohlc_after_retry
HAZOOR,HAZOOR.NS,no_ohlc_after_retry
HBPOR,HBPOR.NS,no_ohlc_after_retry
HINDADH,HINDADH.NS,no_ohlc_after_retry
HINDALUMI,HINDALUMI.NS,no_ohlc_after_retry
HRYNSHP,HRYNSHP.NS,no_ohlc_after_retry
IPRINGLTD,IPRINGLTD.NS,no_ohlc_after_retry
ISTLTD,ISTLTD.NS,no_ohlc_after_retry
ITL,ITL.NS,no_ohlc_after_retry
JENBURPH,JENBURPH.NS,no_ohlc_after_retry
JYOTIRES,JYOTIRES.NS,no_ohlc_after_retry
KAMANWALA,KAMANWALA.NS,no_ohlc_after_retry
KANCOTEA,KANCOTEA.NS,no_ohlc_after_retry
KMCSHIL,KMCSHIL.NS,no_ohlc_after_retry
KSE,KSE.NS,no_ohlc_after_retry
LADDERUP,LADDERUP.NS,no_ohlc_after_retry
LANCER,LANCER.NS,no_ohlc_after_retry
LEENEE,LEENEE.NS,no_ohlc_after_retry
LKPSEC,LKPSEC.NS,no_ohlc_after_retry
LOTUSCHO,LOTUSCHO.NS,no_ohlc_after_retry
MAKERSL,MAKERSL.NS,no_ohlc_after_retry
MANBRO,MANBRO.NS,no_ohlc_after_retry
METALIC,METALIC.NS,no_ohlc_after_retry
MIIL,MIIL.NS,no_ohlc_after_retry
MILKYMIST,MILKYMIST.NS,no_ohlc_after_retry
MINALIND,MINALIND.NS,no_ohlc_after_retry
MKEXIM,MKEXIM.NS,no_ohlc_after_retry
MLKFOOD,MLKFOOD.NS,no_ohlc_after_retry
MOHITE,MOHITE.NS,no_ohlc_after_retry
MSL,MSL.NS,no_ohlc_after_retry
MUKESHB,MUKESHB.NS,no_ohlc_after_retry
NEELAM,NEELAM.NS,no_ohlc_after_retry
NICCOPAR,NICCOPAR.NS,no_ohlc_after_retry
NTCIND,NTCIND.NS,no_ohlc_after_retry
ODYCORP,ODYCORP.NS,no_ohlc_after_retry
ONEGLOBAL,ONEGLOBAL.NS,no_ohlc_after_retry
ONIXSOLAR,ONIXSOLAR.NS,no_ohlc_after_retry
OPTIFIN,OPTIFIN.NS,no_ohlc_after_retry
OPTIMYSTIX,OPTIMYSTIX.NS,no_ohlc_after_retry
PANORAMA,PANORAMA.NS,no_ohlc_after_retry
PARNAXLAB,PARNAXLAB.NS,no_ohlc_after_retry
PBMPOLY,PBMPOLY.NS,no_ohlc_after_retry
POEL,POEL.NS,no_ohlc_after_retry
POLYSPIN,POLYSPIN.NS,no_ohlc_after_retry
PRISMX,PRISMX.NS,no_ohlc_after_retry
PROPSHOP,PROPSHOP.NS,no_ohlc_after_retry
RTSPOWR,RTSPOWR.NS,no_ohlc_after_retry
SAB,SAB.NS,no_ohlc_after_retry
SAICAPI,SAICAPI.NS,no_ohlc_after_retry
SAYAJIIND,SAYAJIIND.NS,no_ohlc_after_retry
SEKURITIND,SEKURITIND.NS,no_ohlc_after_retry
