symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
CONCOR,486.9,4.071817890349461,-0.4,-123.0,,,30484.0,True,2
ABCAPITAL,401.55,7.137139807897545,-0.47,-97.0,,,20547.0,True,2
ETERNAL,286.6,12.834645669291348,-0.61,-734.0,,,118710.0,True,2
AMBUJACEM,438.5,2.465241266503099,-0.63,-571.0,,,89891.0,True,2
KAYNES,3385.8,6.038208581271538,-0.76,-323.0,,,41964.0,True,2
MOTHERSON,144.17,-2.2642532709646828,-0.85,-354.0,,,41112.0,True,2
BEL,409.45,0.6019656019655991,-0.87,-1267.0,,,144017.0,True,2
ADANIENT,3160.7,6.852603110209595,-0.94,-955.0,,,100932.0,True,2
OIL,435.35,3.902147971360388,-1.01,-245.0,,,24047.0,True,2
FORTIS,952.45,-2.0918996710526225,-1.04,-228.0,,,21604.0,True,2
PNBHOUSING,1099.8,7.802391687904323,-1.07,-198.0,,,18319.0,True,2
SHRIRAMFIN,1034.9,2.9751243781094616,-1.15,-724.0,,,62244.0,True,2
GODREJCP,1071.9,3.067307692307701,-1.18,-365.0,,,30567.0,True,2
POWERGRID,283.55,-0.925925925925918,-1.24,-737.0,,,58852.0,True,2
ADANIPORTS,1837.4,0.7346491228070225,-1.28,-889.0,,,68312.0,True,2
BLUESTARCO,1686.9,3.2374541003672026,-1.28,-293.0,,,22599.0,True,2
TVSMOTOR,3618.2,4.726620162667508,-1.4,-1422.0,,,100091.0,True,2
NAUKRI,1187.25,16.855314960629922,-1.63,-777.0,,,46959.0,True,2
DLF,667.8,5.489297843772214,-2.11,-1840.0,,,85342.0,True,2
UNIONBANK,168.46,-1.7725947521865844,-2.22,-1382.0,,,60789.0,True,2
NYKAA,323.05,18.05225653206652,-2.26,-564.0,,,24422.0,True,2
NUVAMA,1863.1,11.864305013509451,-2.48,-202.0,,,7947.0,True,2
BIOCON,437.2,4.982590947292592,-2.77,-1347.0,,,47305.0,True,2
SBICARD,654.7,4.376245516141896,-3.12,-2023.0,,,62893.0,True,2
INDIANB,832.4,-2.983682983682986,-3.15,-1283.0,,,39479.0,True,2
SWIGGY,276.87,5.978947368421054,-3.59,-1707.0,,,45906.0,True,2
PATANJALI,337.7,-20.904087129640477,-6.5,-4814.0,,,69264.0,True,2
HDFCAMC,2651.2,-0.989655301191321,-7.24,-3752.0,,,48105.0,True,2
