index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,21-Jul-2026,24334.3,1840480,2968054,1.61,24250,10.8
BANKNIFTY,28-Jul-2026,58521.4,517499,524200,1.01,58200,13.73
