date,symbol,subject,details,category
22-Aug-2026 05:24:27,INNOVACAP,Capacity addition,Innova Captab Limited has informed the Exchange about Capacity addition,Capacity addition
22-Aug-2026 03:26:24,INNOVACAP,Outcome of Board Meeting,"Innova Captab Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
22-Aug-2026 00:35:05,RELTD,Updates,Ravindra Energy Limited has informed the Exchange regarding 'submission of disclosure received under Regulation 31(1) of SEBI (SAST) Regulation 2011 for creation of encumbrance on shares by Promoters '.,Updates
22-Aug-2026 00:21:21,ZEEL,Allotment of Securities,Zee Entertainment Enterprises Limited has informed the Exchange regarding allotment of 209447805 fully convertible warrants,Allotment of Securities
21-Aug-2026 23:57:30,RELTD,Updates,"Ravindra Energy Limited has informed the Exchange regarding 'Ravindra Energy Limited has informed the Exchange regarding ''Disclosure under Regulation 7(2) of SEBI (Prohibition of Insider Trading) Regulations, 2015 Pledge Creation by Promoter '.",Updates
21-Aug-2026 23:50:05,RELTD,Updates,"Ravindra Energy Limited has informed the Exchange regarding ''Disclosure under Regulation 7(2) of SEBI (Prohibition of Insider Trading) Regulations, 2015   Pledge Creation Khandepar Investments Private Limited'.",Updates
21-Aug-2026 23:43:25,TITAGARH,Press Release,"TITAGARH RAIL SYSTEMS LIMITED has informed the Exchange regarding a press release dated August 21, 2026, titled ""TITAGARH RAIL SYSTEMS LIMITED has informed the Exchange regarding a press release dated August 21, 2026, titled ""Titagarh Rail Systems Inaugurates New Design and Operations Centre at Utta",Press Release
21-Aug-2026 23:39:42,TEXRAIL,Analysts/Institutional Investor Meet/Con. Call Updates,Texmaco Rail & Engineering Limited has informed the Exchange about Schedule of Investor meet,Analysts/Institutional Investor Meet/Con. Call Updates
21-Aug-2026 23:39:42,TEXRAIL,Analysts/Institutional Investor Meet/Con. Call Updates,Texmaco Rail & Engineering Limited has informed the Exchange about Schedule of Investor meet,Analysts/Institutional Investor Meet/Con. Call Updates
21-Aug-2026 23:35:41,USHAMART,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about ESG Rating & Core ESG Rating assigned voluntarily by Crisil ESG Ratings & Analytics Ltd.,General Updates
21-Aug-2026 23:18:47,SOFTTECH,Resignation of Director/KMP/SMP,Softtech Engineers Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
21-Aug-2026 23:18:18,NDGL,Shareholders meeting,"Naga Dhunseri Group Limited has submitted the Exchange a copy Srutinizers report of  108th Annual General Meeting held on August 20, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
21-Aug-2026 23:13:47,GODAVARIB,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Godavari Biorefineries Limited has informed the Exchange about received show cause notice from Asst. Commissioner of Central GST,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
21-Aug-2026 23:08:07,SOFTTECH,Change in Management,"Softtech Engineers Limited has informed the Exchange about Resignation of Ms. Aadishri Apte as Company Secretary & Compliance Officer of the company w.e.f. October 16, 2026.",Change in Management
21-Aug-2026 23:02:28,SOFTTECH,Resignation,"Softtech Engineers Limited has informed the Exchange regarding Resignation of  Ms. Aadishri Apte as Company Secretary & Compliance Officer of the company w.e.f. October 16, 2026.",Resignation
21-Aug-2026 23:01:08,VIPIND,Shareholders meeting,"VIP Industries Limited has submitted the Exchange a copy Srutinizers report of 59th Annual General Meeting held on August 21, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
21-Aug-2026 22:59:33,BANKA,Copy of Newspaper Publication,Banka BioLoo Limited has informed the Exchange about the copy of the newspaper publication.,Copy of Newspaper Publication
21-Aug-2026 22:57:49,PARKHOTELS,Analysts/Institutional Investor Meet/Con. Call Updates,"Apeejay Surrendra Park Hotels Limited has informed the Exchange about Transcript of the conference call held with Investors and Analysts on the un-audited financial results of the Company for the first quarter (Q1) and three months ended on June 30, 2026",Analysts/Institutional Investor Meet/Con. Call Updates
21-Aug-2026 22:47:13,XCHANGING,General Updates,Xchanging Solutions Limited has informed the Exchange about Letter sent to the members of the Company - Web link of the Annual Report,General Updates
21-Aug-2026 22:45:01,XCHANGING,Shareholders meeting,"Xchanging Solutions Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 15, 2026",Shareholders meeting
