symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,212.52,182.0,181.63,,,,False,172917.7,0.751,5.312,,4409
21STCENMGM,46.49,37.85,30.6,,,,False,12107.7,0.903,7.099,,2127
360ONE,1222.9,1103.1,1060.6,,,,False,939878.4,0.516,3.925,,1716
3BBLACKBIO,1314.8,1099.5,1099.5,,,,False,9997.55,1.856,3.849,,87
3IINFOLTD,27.8,19.5,17.0,,,,False,1527110.65,0.153,5.895,,5268
3MINDIA,37300.0,33290.0,31435.0,,,,False,4072.9,0.388,4.794,,5994
3PLAND,34.5,31.33,30.22,,,,False,5450.1,0.36,3.204,,4548
5PAISA,416.95,344.0,311.95,,,,False,79212.55,0.6,4.297,,2167
63MOONS,957.95,705.1,650.0,,,,False,1676459.75,0.275,6.607,,5228
A2ZINFRA,17.95,12.0,12.0,,,,False,625091.4,2.413,6.364,,3866
AAATECH,101.98,87.26,85.0,,,,False,28571.4,0.519,3.622,,1429
AADHARHFC,517.8,459.75,459.75,,,,False,374583.75,3.024,4.393,,567
AAKASH,9.59,8.06,8.06,,,,False,144945.6,0.661,4.389,,2045
AAREYDRUGS,87.5,74.1,73.41,,,,False,125828.6,5.555,3.138,,1248
AARNAV,36.9,28.38,23.51,,,,False,74604.05,0.137,3.865,,120
AARON,154.8,127.45,111.15,,,,False,49323.1,0.336,4.063,,1957
AARTECH,53.36,44.85,39.98,,,,False,87310.9,2.65,3.224,,772
AARTIDRUGS,453.65,404.5,366.8,,,,False,223109.3,0.769,3.702,,5678
AARTIIND,541.7,475.1,448.0,,,,False,1794835.4,0.555,4.146,,5999
AARTIPHARM,932.6,650.8,635.85,,,,False,1290904.1,0.396,6.162,,882
AARTISURF,677.7,377.0,361.6,,,,False,104031.3,0.247,6.377,,1515
AARVI,164.9,150.0,135.54,164.9,150.0,20.0,False,40848.75,1.263,2.508,-7.52,2193
AASTHA,105.79,70.0,70.0,,,,False,2676264.95,0.065,8.685,,35
AATMAJ,20.5,17.75,16.7,,,,False,3800.0,2.105,5.238,,778
AAVAS,1453.2,1346.2,1346.2,1453.2,1346.2,20.0,False,67270.2,0.801,2.725,-6.737,1948
ABAN,20.11,14.71,12.89,,,,False,44189.85,0.167,9.68,,5965
ABANSENT,32.79,25.05,25.05,,,,False,9918.3,1.393,5.185,,87
ABB,7894.5,7085.0,6715.5,,,,False,300476.35,0.284,5.065,,5999
ABBOTINDIA,28635.0,25905.0,25200.0,,,,False,8908.2,0.985,5.511,,5969
ABCAPITAL,430.7,388.0,363.15,,,,False,3936027.65,0.932,4.649,,2220
ABCOTS,225.0,196.81,196.81,,,,False,16339.8,0.493,3.827,,1131
ABDL,655.0,584.3,580.0,,,,False,328580.75,0.908,3.15,,534
ABFRL,64.1,54.1,54.1,,,,False,7764840.8,0.391,5.273,,3233
ABINFRA,14.44,9.8,9.78,,,,False,10573210.5,1.341,4.687,,1748
ABLBL,97.4,86.0,86.0,,,,False,1122099.9,0.475,6.094,,292
