index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,28-Jul-2026,23758.15,3464150,2337621,0.67,23900,12.95
BANKNIFTY,28-Jul-2026,56339.55,734387,510634,0.7,57400,17.01
