index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,28-Jul-2026,23985.35,2811804,2595774,0.92,24000,0.34
BANKNIFTY,28-Jul-2026,56755.6,1047670,686780,0.66,56800,0.43
