symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
-,235,6,229,3816.67,386,0.0,0,8.45482,1586
SOLARINDS,46465,28604,17861,62.44,304934,208236.7345,286678364251,52497.51751,20324
PAGEIND,28896,19786,9110,46.04,115406,141406.75828,74681396449,10776.36449,36520
ASTRAL,41627,31448,10179,32.37,331931,108749.95846,214671978947,39906.55947,1592
JIOFIN,184915,159444,25471,15.97,231619,194541.81814,125440402944,22954.56194,255
APOLLOHOSP,62714,54227,8487,15.65,162356,72180.7766,173331516816,17521.04316,8600
NIFTY,7829505,6855770,973735,14.2,42264996,414171.18307,67206770138222,1730128.47722,24395
ASHOKLEY,61971,55129,6842,12.41,93816,82189.509,79389046500,14761.465,176
FORCEMOT,26628,23694,2934,12.38,61348,20123.83509,27211170735,2764.70735,18525
MAXHEALTH,42305,37840,4465,11.8,80040,39857.0005,39958671978,6039.15978,1013
ULTRACEMCO,69271,61974,7297,11.77,87976,64271.97629,45700464186,4939.16186,11706
BDL,37152,33309,3843,11.54,78496,56839.98131,41100915873,10216.30873,1375
JUBLFOOD,46985,42953,4032,9.39,166435,133024.777,89636992912,17050.74162,491
CONCOR,31294,28665,2629,9.17,54600,32932.95225,33764096762,5976.90512,533
ADANIENSOL,43624,40054,3570,8.91,38617,42156.10163,39080059760,6940.2476,1583
ALKEM,20154,18789,1365,7.26,7543,6580.83342,4704261173,612.86173,5449
HAL,111915,104591,7324,7.0,190537,83392.90459,136999162843,18570.67843,4945
FINNIFTY,24398,22814,1584,6.94,34777,1221.93363,55117677352,2639.04352,26327
GMRAIRPORT,35571,33278,2293,6.89,26012,28237.77483,16605325305,2284.43805,103
TMPV,109516,102927,6589,6.4,99347,50795.47024,52122430560,8832.8656,349
360ONE,15482,14557,925,6.35,7922,8272.37295,3934538200,542.582,1183
MFSL,33027,31077,1950,6.27,19706,19326.91712,10240766716,1725.98716,1512
AMBER,48128,45306,2822,6.23,88356,71897.803,57322890883,10821.40883,7175
SBILIFE,27809,26180,1629,6.22,12848,23910.54345,6589812637,594.27637,1812
MIDCPNIFTY,124318,117092,7226,6.17,138768,22158.39404,248425053963,13070.22963,15078
BANKNIFTY,1191671,1126172,65499,5.82,1830610,156472.4784,3169677775503,201071.62503,57635
UNOMINDA,16983,16081,902,5.61,10108,7006.3213,6455780666,690.15666,1240
DRREDDY,54277,51404,2873,5.59,29598,35781.84018,18866609881,2000.53631,1206
PETRONET,29773,28219,1554,5.51,42055,17584.18707,20781951917,2197.05417,279
ABB,44263,41982,2281,5.43,31897,18094.6971,29740788598,4062.63598,7710
PREMIERENE,20516,19468,1048,5.38,6522,4624.4445,4119804942,462.93942,1035
RADICO,14451,13735,716,5.21,25102,11991.09451,16534775206,2982.20206,4675
BAJAJFINSV,76823,73485,3338,4.54,22413,9929.85534,12727205007,1233.05007,2025
VMM,16111,15453,658,4.26,3637,6607.99599,1278847951,174.47826,107
TIINDIA,16532,15865,667,4.2,12916,8010.6774,6517107390,1318.9739,2780
ICICIBANK,229562,220310,9252,4.2,85079,104577.07589,75328880389,7748.41389,1406
COLPAL,40753,39139,1614,4.12,12630,13432.81711,5815790571,497.39071,1995
SBICARD,49210,47273,1937,4.1,13039,14696.97264,5459748488,792.28488,641
BSE,156655,151231,5424,3.59,87374,54062.50836,58726891910,8993.7191,3502
BIOCON,37424,36156,1268,3.51,25120,43067.7685,22821107725,2974.32725,420
GVT&D,42764,41331,1433,3.47,30839,21784.322,14944429771,1982.79771,4304
VOLTAS,38934,37689,1245,3.3,15951,13142.85131,6589763306,1260.53306,1289
NIFTYNXT50,1101,1066,35,3.28,370,819.92977,633117148,6.17148,74726
NAM-INDIA,16656,16135,521,3.23,3106,8248.807,1524002675,111.15175,1177
VEDL,108193,104890,3303,3.15,37644,14323.41284,11041901237,1555.06737,271
PIIND,54496,52845,1651,3.12,42750,20913.84443,17060950761,1957.10761,2494
KFINTECH,16377,15886,491,3.09,4831,5162.94817,2143570968,240.74968,929
SHREECEM,23109,22430,679,3.03,7401,6960.56175,4122798560,232.2356,25245
PNBHOUSING,24035,23341,694,2.97,12312,10800.58063,8422299119,1371.52119,1164
OFSS,30396,29523,873,2.96,17405,26909.41148,17825686903,2506.66903,11420
HYUNDAI,28370,27574,796,2.89,20805,16086.08036,11453760604,1608.14104,2237
APLAPOLLO,30845,29987,858,2.86,45594,27353.49774,30316557432,4319.68432,2064
BPCL,32421,31544,877,2.78,8353,6890.85518,4600616429,584.22554,315
DALBHARAT,14796,14404,392,2.72,3342,3557.03257,1661166201,157.62701,1834
ICICIGI,30089,29316,773,2.64,4331,3323.69391,2034421184,191.35184,1628
HDFCAMC,41273,40248,1025,2.55,9319,11204.88144,6057009231,640.59231,2499
TATASTEEL,143901,140450,3451,2.46,44668,32524.51015,20088910077,2810.03827,184
ADANIPOWER,74211,72479,1732,2.39,22769,23455.6523,14972477231,1814.90981,206
SHRIRAMFIN,62294,60847,1447,2.38,57889,43218.15522,51205298809,8529.41809,1132
OBEROIRLTY,25693,25099,594,2.37,31172,25989.32049,17752218137,2601.07137,1846
KEI,21608,21111,497,2.35,20279,14528.81144,19223386943,2667.21943,5789
HDFCBANK,1008932,986632,22300,2.26,175639,105926.11003,75666917170,9692.8117,725
PHOENIXLTD,16688,16327,361,2.21,3140,3477.09026,1797311607,195.77607,1898
HINDZINC,64208,62838,1370,2.18,50462,42789.38781,32963376652,4339.18152,578
ICICIPRULI,28930,28316,614,2.17,8078,6367.23102,3200574712,378.33212,507
JINDALSTEL,36874,36092,782,2.17,6559,6675.96037,3924380431,436.55431,1099
LICHSGFIN,65744,64356,1388,2.16,11295,14664.4851,4298343620,412.3362,502
BOSCHLTD,47810,46804,1006,2.15,79846,26740.88586,91076582777,6825.07777,46750
LODHA,35924,35177,747,2.12,26564,27784.93975,17839641950,2593.5445,1232
PRESTIGE,20125,19711,414,2.1,6695,7385.60929,4205874037,651.81037,1618
NBCC,26183,25645,538,2.1,5002,6832.098,2441447255,346.27255,92
GODFRYPHLP,16431,16094,337,2.09,7426,1991.4615,4355916727,221.50477,2160
LT,130878,128211,2667,2.08,89192,72249.16877,56627883198,6290.22448,4070
COCHINSHIP,26231,25741,490,1.9,12192,10052.74928,6629813184,1355.81184,1507
AXISBANK,214458,210498,3960,1.88,49003,46002.58368,33892246662,3110.96662,1221
MARUTI,113772,111715,2057,1.84,66014,23676.59136,44529476068,3856.41068,13905
ADANIENT,88064,86473,1591,1.84,35224,36600.26356,29478532489,4963.59529,2964
RVNL,46408,45582,826,1.81,14003,7156.75345,5702575340,700.15715,228
ADANIGREEN,75533,74201,1332,1.8,25172,17950.62876,19428020388,2710.16388,1319
WIPRO,122483,120333,2150,1.79,22268,27991.1364,9719692290,901.7229,183
UNIONBANK,45311,44530,781,1.75,14909,17033.26135,10770635761,1788.45136,186
INDHOTEL,35735,35121,614,1.75,7350,11653.6249,4283033540,494.3354,721
LTM,39064,38400,664,1.73,14777,24867.82731,8194911643,1333.64143,4765
SONACOMS,21287,20938,349,1.67,7204,9692.5637,6236445122,810.40622,799
HINDALCO,116314,114452,1862,1.63,83394,66434.34672,56116345145,6882.03145,1046
M&M,130143,128065,2078,1.62,56415,50199.05358,34376212840,4053.2284,3428
IDFCFIRSTB,67704,66655,1049,1.57,18249,21214.16769,12680533006,1508.05656,86
PERSISTENT,57750,56862,888,1.56,25447,16219.31147,16248531518,2862.56518,5523
BANKBARODA,81202,79999,1203,1.5,16424,17316.95676,10482742676,1390.06676,248
PFC,113500,111892,1608,1.44,34126,27533.82645,14685266947,1520.07947,378
LTF,37290,36767,523,1.42,5504,6991.23847,3276525060,468.4131,315
RELIANCE,467235,460736,6499,1.41,154930,123306.8914,91338535810,10134.1081,1317
COALINDIA,104228,102790,1438,1.4,15580,14121.61222,7386511797,729.07047,410
INDIANB,25610,25257,353,1.4,12410,12041.6185,10099899600,1542.996,897
CIPLA,47742,47103,639,1.36,8392,7105.37193,4591530641,393.51391,1458
ADANIPORTS,102900,101528,1372,1.35,26712,31606.75222,18544411269,1843.40769,1658
AMBUJACEM,97251,95996,1255,1.31,8897,10221.17808,3601790508,443.54508,419
BAJAJHLDNG,6849,6765,84,1.24,2034,1253.59098,1723625258,77.07758,11500
CUMMINSIND,42743,42254,489,1.16,30937,12873.91734,29678554986,922.14986,5315
COFORGE,63605,62905,700,1.11,30747,28745.62554,23532342901,3447.14401,1829
HINDPETRO,33308,32943,365,1.11,10957,24661.85717,6339459654,904.91904,392
TECHM,49142,48606,536,1.1,20111,23363.58708,17867357442,2266.06242,1639
KAYNES,50090,49555,535,1.08,20367,20277.12156,9857498641,2052.76141,3760
ITC,226379,224241,2138,0.95,49993,26807.08011,21860157806,1786.41431,278
PATANJALI,53144,52646,498,0.95,16371,23096.14763,3988489639,1067.02264,353
NESTLEIND,38317,37958,359,0.95,21876,23453.6891,14539158910,1490.7891,1506
IREDA,42298,41906,392,0.94,6498,9138.31261,2742761780,1017.70417,117
CAMS,21991,21797,194,0.89,7240,5975.5938,4210112148,417.58398,773
INOXWIND,32720,32447,273,0.84,4789,4583.82848,1969540544,263.82144,74
PGEL,33671,33391,280,0.84,10816,10632.31013,5446200764,848.94764,615
BHARTIARTL,189887,188319,1568,0.83,208297,177819.18806,179089255115,16534.89615,1939
CHOLAFIN,38921,38606,315,0.82,7177,16366.73106,7095961556,856.36556,1927
CDSL,51390,50994,396,0.78,19825,11933.98673,11853355361,1633.20361,1350
UPL,52152,51764,388,0.75,10051,8513.56459,7202026502,703.09202,568
ETERNAL,114781,113928,853,0.75,57106,58687.92018,38780910012,6300.21887,318
MPHASIS,26048,25862,186,0.72,6559,7829.71728,3812433220,608.1832,2541
IDEA,120700,119859,841,0.7,48756,112343.6831,38002679267,8795.64917,13
LAURUSLABS,50488,50143,345,0.69,19610,37344.77261,27109055924,3461.59924,1851
NTPC,128772,127897,875,0.68,32940,21870.2574,14955208545,1480.26045,344
