index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,18-Aug-2026,24366.0,2338723,2066658,0.88,24400,10.08
BANKNIFTY,25-Aug-2026,57491.1,551967,432125,0.78,57800,11.27
