index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,25-Aug-2026,24252.0,2738928,2966545,1.08,24250,8.02
BANKNIFTY,25-Aug-2026,57761.95,583452,507505,0.87,57700,7.69
