index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,04-Aug-2026,24250.2,1554742,1821281,1.17,24200,7.93
BANKNIFTY,25-Aug-2026,57205.9,331133,297385,0.9,57600,10.57
