symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
SUMEETINDS,2026-07-29,25.98,24.69,25037,25037,100.0,6.18,160
ARTNIRMAN,2026-07-29,39.42,38.5,141,141,100.0,0.05,7
SONAL,2026-07-29,88.28,92.69,1,1,100.0,0.0,1
SHRIKRISH,2026-07-29,40.12,40.0,104,104,100.0,0.04,3
NEAGI,2026-07-29,3026.1,3144.3,2,2,100.0,0.06,2
PKTEA,2026-07-29,705.05,690.0,19,19,100.0,0.13,5
NATIONSTD,2026-07-29,289.0,274.6,2310,2310,100.0,6.34,183
CURAA,2026-07-29,72.35,77.0,445,445,100.0,0.32,7
BOHRAIND,2026-07-29,13.81,14.5,9345,9345,100.0,1.36,19
SABEVENTS,2026-07-29,6.93,6.59,767,767,100.0,0.05,9
KREBSBIO,2026-07-29,53.35,54.04,5926,5911,99.75,3.24,16
AIROLAM,2026-07-29,87.54,86.15,212,210,99.06,0.19,20
NBIFIN,2026-07-29,2170.0,2204.0,14340,14170,98.81,316.06,248
HBESD,2026-07-29,75.5,76.77,771,761,98.7,0.59,12
SAPPL,2026-07-29,299.1,288.05,1044,1028,98.47,3.14,12
HISARMETAL,2026-07-29,149.42,148.38,191,188,98.43,0.28,11
GRAVISSHO,2026-07-29,29.15,30.84,1966,1922,97.76,0.6,45
AFSL,2026-07-29,201.0,201.0,32377,31573,97.52,65.08,56
RETAIL,2026-07-29,16.79,16.62,1214,1183,97.45,0.2,29
DCMFINSERV,2026-07-29,5.26,5.16,4838,4707,97.29,0.25,41
INTENTECH,2026-07-29,87.71,88.71,246890,240103,97.25,217.37,398
KEEPLEARN,2026-07-29,1.91,1.93,16716,16215,97.0,0.32,51
MOKSH,2026-07-29,10.24,10.1,61448,59467,96.78,6.24,201
PNC,2026-07-29,19.81,19.92,9022,8713,96.58,1.8,88
LFIC,2026-07-29,140.61,140.95,460,444,96.52,0.65,21
WEIZMANIND,2026-07-29,77.37,77.19,2611,2507,96.02,2.03,47
PIONEEREMB,2026-07-29,22.93,23.75,28720,27556,95.95,6.74,69
KHANDSE,2026-07-29,16.75,17.49,6943,6592,94.94,1.25,36
ABMKNO,2026-07-29,193.62,194.6,212,201,94.81,0.41,16
RUBFILA,2026-07-29,72.06,70.76,31381,29712,94.68,22.31,349
OBCL,2026-07-29,52.65,52.41,3740,3536,94.55,1.97,54
NORBTEAEXP,2026-07-29,69.23,67.57,590,556,94.24,0.4,21
3PLAND,2026-07-29,32.28,32.28,1042,975,93.57,0.34,38
SILINV,2026-07-29,414.25,414.55,1718,1603,93.31,7.14,84
GUJRAFFIA,2026-07-29,39.5,39.08,897,831,92.64,0.36,21
GROBTEA,2026-07-29,905.0,917.2,94,87,92.55,0.86,14
DTIL,2026-07-29,128.58,129.07,1705,1574,92.32,2.21,50
GYFTR,2026-07-29,145.38,152.82,431549,397685,92.15,656.58,1306
TREEHOUSE,2026-07-29,6.34,6.3,9364,8592,91.76,0.6,63
DGCONTENT,2026-07-29,24.62,25.33,15002,13737,91.57,3.8,66
SAHLIBHFI,2026-07-29,79.78,81.81,10932,9997,91.45,8.88,48
BIMETAL,2026-07-29,638.15,643.8,264,241,91.29,1.71,32
LAXMICOT,2026-07-29,13.85,14.1,6391,5822,91.1,0.9,90
ELPROINTL,2026-07-29,177.18,176.97,83896,76380,91.04,148.49,377
NAHARINDUS,2026-07-29,115.56,114.91,8162,7431,91.04,9.41,95
AEPL,2026-07-29,14.5,14.55,15862,14409,90.84,2.33,126
CTE,2026-07-29,31.61,30.88,49328,44771,90.76,15.44,245
SBGLP,2026-07-29,25.14,24.97,22629,20531,90.73,5.64,73
AURUS,2026-07-29,4.85,4.74,16600,15036,90.58,0.79,175
PREMCO,2026-07-29,371.7,366.05,446,404,90.58,1.63,69
SAKUMA,2026-07-29,1.66,1.63,656579,594516,90.55,10.83,659
