symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-0.1915708812260536,-0.9505703422053232,-0.9,-3.05,-5.73,0.71,2.1,4.78
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,-2.402088772845953,-5.606060606060606,-0.9,-3.05,,-1.5,-2.56,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,-2.9526883197143445,-6.180297397769526,-0.9,-3.05,-0.62,-2.05,-3.13,-5.56
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,-1.038062283737024,-1.5151515151515151,-0.9,-3.05,-0.62,-0.14,1.53,-0.9
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-2.7186311787072266,-2.310042000763644,-0.9,-3.05,-0.62,-1.82,0.74,-1.69
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,2.207048458149776,-5.805692014128537,-0.9,-3.05,-1.8,3.11,-2.76,-4.01
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-3.761467889908257,-9.879725085910652,-0.9,-3.05,-2.48,-2.86,-6.83,-7.4
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-2.04534253326762,-0.8035536035136709,-0.9,-3.05,-3.11,-1.15,2.25,2.31
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-0.1317523056653518,6.352040816326525,-0.9,-3.05,-2.48,0.77,9.4,8.83
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-2.871287128712871,-7.413524609504031,-0.9,-3.05,-7.45,-1.97,-4.36,0.04
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,0.466677153793723,-1.7989851878427507,-0.9,-3.05,0.36,1.37,1.25,-2.16
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,0.9196428571428532,-3.227739726027401,-0.9,-3.05,-1.8,1.82,-0.18,-1.43
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,-1.431372549019608,1.8642350557244172,-0.9,-3.05,4.08,-0.53,4.91,-2.22
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,1.2988574864702291,6.485461441213648,-0.9,-3.05,-0.62,2.2,9.54,7.11
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-4.903846153846154,-8.970546587369018,-0.9,-3.05,4.08,-4.0,-5.92,-13.05
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-0.4111881424814791,-2.119360902255648,-0.9,-3.05,-5.73,0.49,0.93,3.61
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-7.624633431085044,-7.380182299323728,-0.9,-3.05,4.08,-6.72,-4.33,-11.46
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,-7.168,-5.292024419705524,-0.9,-3.05,,-6.27,-2.24,
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,0.5555555555555556,0.2373417721518987,-0.9,-3.05,-0.62,1.46,3.29,0.86
ADANIPORTS,Transportation,Other Transportation,,unmapped,0.2055196711685261,0.1996359579590212,-0.9,-3.05,,1.11,3.25,
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,1.8532818532818531,-4.121538126044926,-0.9,-3.05,-1.8,2.75,-1.07,-2.32
