index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,11-Aug-2026,24570.65,2634603,1934730,0.73,24600,23.95
BANKNIFTY,25-Aug-2026,57746.45,435172,385799,0.89,58000,13.71
