date,symbol,subject,details,category
10-Aug-2026 08:15:41,MBEL,Analysts/Institutional Investor Meet/Con. Call Updates,M & B Engineering Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
09-Aug-2026 23:52:27,NAZARA,Copy of Newspaper Publication,Nazara Technologies Limited informs the Exchange about Copy of Newspaper Publication.,Copy of Newspaper Publication
09-Aug-2026 23:50:12,OLAELEC,Copy of Newspaper Publication,Ola Electric Mobility Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
09-Aug-2026 22:54:42,AUTOAXLES,General Updates,"Automotive Axles Limited has informed the Exchange about General Updates regarding Karnataka State Pollution Control Board (KSPCB) w.r.t non-complianceunder the provisions of Water (Prevention and Control of Pollution) Act, 1974",General Updates
09-Aug-2026 21:36:55,KNACK,Press Release,"Knack Packaging Limited has informed the Exchange regarding a press release dated August 09, 2026, titled ""Press Release for Un-audited Financial Results for the quarter ended June 30, 2026 - Company Delivers Robust Performance Across Key Parameters; Revenue Up 41% YoY in Q1FY27"".",Press Release
09-Aug-2026 20:57:00,DHUNINV,Cessation,"Dhunseri Investments Limited has informed the Exchange regarding Cessation of Mr RAJ VARDHAN KEJRIWAL as Non- Executive Independent Director of the company w.e.f. August 09, 2026.",Cessation
09-Aug-2026 20:39:27,IMAGICAA,Investor Presentation,Imagicaaworld Entertainment Limited has informed the Exchange about Investor Presentation,Investor Presentation
09-Aug-2026 20:37:14,BSHSL,Copy of Newspaper Publication,Bombay Super Hybrid Seeds Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
09-Aug-2026 20:36:34,RHIM,General Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about General Updates,General Updates
09-Aug-2026 20:22:38,UNIPARTS,Analysts/Institutional Investor Meet/Con. Call Updates,Uniparts India Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
09-Aug-2026 20:09:37,MEDIASSIST,Press Release,"Medi Assist Healthcare Services Limited has informed the Exchange regarding a press release dated August 09, 2026, titled ""Medi Assist Q1 FY27: Revenue Up 24.1%   Paramount Integration is at its logical closure; AI Platform Contracts Signed; International Platform Established"".",Press Release
09-Aug-2026 19:59:10,MEDIASSIST,Investor Presentation,Medi Assist Healthcare Services Limited has informed the Exchange about Investor Presentation,Investor Presentation
09-Aug-2026 19:52:10,M&M,Press Release,"Mahindra & Mahindra Limited has informed the Exchange regarding a Press Release dated August 09, 2026, titled ""Press release on appointment of Senior Management Personnel"".",Press Release
09-Aug-2026 19:50:08,JSLL,Investor Presentation,Jeena Sikho Lifecare Limited has informed the Exchange about Investor Presentation,Investor Presentation
09-Aug-2026 19:44:15,M&M,Change in Management,M&M: Mahindra & Mahindra Limited has informed the Exchange about appointment of Senior Management Personnel,Change in Management
09-Aug-2026 19:39:39,M&M,Appointment,"M&M: Mahindra & Mahindra Limited has informed the Exchange regarding Appointment of Ms. Shveta Arya as the Group Chief Strategy Officer of the Mahindra Group w.e.f. September 15, 2026.",Appointment
09-Aug-2026 19:21:31,TVSELECT,Copy of Newspaper Publication,TVS Electronics Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
09-Aug-2026 19:01:51,TIPSMUSIC,Copy of Newspaper Publication,Tips Music Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
09-Aug-2026 18:46:51,KNACK,Investor Presentation,Knack Packaging Limited has informed the Exchange about Investor Presentation,Investor Presentation
09-Aug-2026 18:43:14,IDFCFIRSTB,Copy of Newspaper Publication,"IDFC First Bank Limited has informed the Exchange about Copy of Newspaper Publication regarding dispatch of Notice of the AGM, Integrated Annual Report of the Bank for FY 2025-2026 and E-voting related matters.",Copy of Newspaper Publication
