index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,21-Jul-2026,24085.85,1222670,1049820,0.86,24100,10.94
BANKNIFTY,28-Jul-2026,57643.75,509746,434162,0.85,58000,15.38
