symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
TATAELXSI,72706,52491,20215,38.51,87179,47001.10622,37579673943,7639.73943,3710
BIOCON,50270,37080,13190,35.57,187003,251416.14425,183597408875,35729.71375,437
HCLTECH,201756,163281,38475,23.56,355227,251658.58032,147131742432,21470.02432,1164
NIFTY,11659938,9706818,1953120,20.12,385761805,915099.70683,603905242726544,6706576.43544,24052
DIVISLAB,76368,65289,11079,16.97,223250,126629.33132,147894206929,22452.21929,7196
IREDA,29409,26001,3408,13.11,10416,18381.94234,4183769976,1193.60676,122
BLUESTARCO,19986,17984,2002,11.13,29377,17270.10584,15101807279,2325.50279,1745
HDFCAMC,34564,31257,3307,10.58,23465,32500.974,16223820735,3129.97935,2662
PAYTM,68115,61668,6447,10.45,40963,65943.23934,35793457661,11134.66911,1385
BHEL,63881,58367,5514,9.45,44036,50455.062,44272676700,9486.39825,402
KALYANKJIL,106631,97699,8932,9.14,204984,159006.37513,133979112517,56332.69267,531
LICI,31002,28420,2582,9.09,16202,22792.97958,7729194144,1016.96644,433
MAZDOCK,48657,44631,4026,9.02,18533,19972.01216,8275699444,1398.38944,2360
DMART,88224,81004,7220,8.91,56672,35567.23491,31280957328,3202.37328,3919
FINNIFTY,7891,7253,638,8.8,13243,2364.31598,21345426963,1673.10963,26536
LTF,47506,43712,3794,8.68,55080,56230.25017,35093649105,5093.60355,315
TORNTPHARM,36080,33321,2759,8.28,22172,42527.60737,9551149808,1454.12308,4974
LT,187403,174353,13050,7.48,83388,89682.93607,49158680884,5565.32884,3845
SBIN,216190,201438,14752,7.32,143932,137743.7934,98532740910,11984.6091,1012
WAAREEENER,78508,73213,5295,7.23,23083,38708.50007,7896212549,1404.22549,2810
BDL,50018,46669,3349,7.18,33202,23531.51381,16435431202,3005.35702,1276
UNIONBANK,56962,53294,3668,6.88,43175,67470.66141,26607373930,6757.78743,170
FORCEMOT,22869,21485,1384,6.44,7739,5703.29698,3088301521,384.39021,17642
OBEROIRLTY,31455,29564,1891,6.4,17132,31060.40889,8620567466,1735.48466,1910
MARUTI,142671,134536,8135,6.05,106196,52422.4999,69315931332,8650.01332,13480
TECHM,63171,59600,3571,5.99,25149,67596.2259,16182744660,3114.0546,1484
TMPV,133292,126063,7229,5.73,47498,40493.79792,22933245680,2998.2968,333
ITC,193195,182820,10375,5.67,71152,47409.5669,30249696841,3013.10304,275
JUBLFOOD,34484,32647,1837,5.63,16957,16293.08425,7792983437,1258.77187,420
BAJAJHLDNG,6549,6202,347,5.59,1974,4495.35871,1171729527,150.42027,10478
SUNPHARMA,102301,96999,5302,5.47,60257,27222.12829,38750646518,3783.54518,1944
RADICO,8326,7899,427,5.41,5472,8521.35243,2556963873,544.16373,4059
ANGELONE,23111,21961,1150,5.24,14379,23854.52625,10095891000,2548.91,333
COCHINSHIP,40451,38494,1957,5.08,13027,11263.27644,6535106124,1028.82124,1391
ICICIGI,25210,23996,1214,5.06,14992,22416.2468,6585467138,1253.12138,1800
KPITTECH,64826,61832,2994,4.84,28385,19157.90777,11034810964,2265.52464,554
HDFCLIFE,72697,69367,3330,4.8,37524,47354.36035,18940218055,3100.46055,556
ALKEM,16672,15913,759,4.77,15062,19547.35381,8986600043,1066.75043,5615
GVT&D,26116,24932,1184,4.75,10468,21958.74087,3868979686,906.42186,4519
OIL,24761,23644,1117,4.72,26704,22206.94224,14662501490,1779.3349,440
IDFCFIRSTB,63349,60540,2809,4.64,19964,51700.43138,9859308490,1595.41315,79
GODFRYPHLP,10784,10309,475,4.61,2492,4108.96761,1043388054,159.96304,2070
NIFTYNXT50,1072,1025,47,4.59,323,2513.48793,342194334,23.26834,71851
IEX,33454,32002,1452,4.54,7023,6139.08714,3112558588,517.87663,117
CONCOR,31971,30585,1386,4.53,67420,56917.31262,36432443412,7511.12162,492
RECLTD,54914,52716,2198,4.17,15521,34434.53669,5343484592,797.47967,352
BAJAJFINSV,76954,73920,3034,4.1,37223,29160.66387,18430067394,2151.41394,1864
IRFC,44343,42616,1727,4.05,8839,9914.1441,3466452720,463.3742,88
JIOFIN,119813,115185,4628,4.02,34285,40190.6219,15585147877,2614.73502,236
ASHOKLEY,63447,61015,2432,3.99,27951,45291.1395,17972904550,3094.9205,155
RVNL,41878,40293,1585,3.93,9365,13787.18071,2916738748,501.92373,227
HEROMOTOCO,76030,73155,2875,3.93,33260,29631.56211,21950892525,2761.85025,4877
BANKNIFTY,1149241,1106619,42622,3.85,2097015,550025.06912,3606625169972,301307.84972,57462
ONGC,81946,79014,2932,3.71,46647,32117.77305,23440094527,2849.56402,248
CAMS,18258,17631,627,3.56,8993,7996.58095,5083577243,868.98743,766
MUTHOOTFIN,38800,37513,1287,3.43,18638,25770.41577,13366216143,2318.99893,3017
HAVELLS,41718,40389,1329,3.29,15520,21797.7779,7250833360,1405.5836,1189
NTPC,134612,130350,4262,3.27,41449,35263.8981,18666923715,1958.03715,348
VMM,12803,12406,397,3.2,3500,7486.27182,1240015844,212.22969,114
TRENT,146376,141842,4534,3.2,43969,34514.25338,26239668574,3916.06035,2866
KEI,20032,19412,620,3.19,11021,35156.66374,6557423538,1262.69788,5100
OFSS,31106,30171,935,3.1,27184,35577.40501,27888405966,5419.05966,11650
HINDPETRO,38126,37055,1071,2.89,20026,31283.81655,12945959237,2213.35112,385
LAURUSLABS,36116,35130,986,2.81,17809,44708.70885,19660366448,4310.88448,1559
NBCC,28237,27484,753,2.74,6627,11553.34895,3260517585,710.97585,98
HINDUNILVR,116663,113592,3071,2.7,34865,37000.71852,19103559957,2269.29957,2118
LUPIN,22532,21959,573,2.61,9011,14928.19355,8163699421,1025.28921,2475
PIIND,31716,30941,775,2.5,8257,8906.68318,2892602779,404.24779,2541
BPCL,40358,39399,959,2.43,16441,18447.55702,8235245644,1326.99519,305
CGPOWER,45045,43978,1067,2.43,25082,25307.77301,17573912001,3637.32501,913
BHARTIARTL,196464,191838,4626,2.41,124303,112195.95527,103572630083,9524.80583,1934
VEDL,119527,116734,2793,2.39,35693,17827.67628,9889458304,1701.87304,267
MOTHERSON,41481,40515,966,2.38,7152,21024.4146,4349306014,824.97514,142
CROMPTON,34544,33758,786,2.33,6896,9659.03732,3004256769,443.62519,260
BAJAJ-AUTO,69352,67778,1574,2.32,68429,91797.88714,44348734174,6833.44174,10170
COALINDIA,99554,97314,2240,2.3,44836,35588.80476,23245196670,2863.9467,430
DABUR,44353,43371,982,2.26,12309,10369.81262,5808945100,666.3885,432
POLYCAB,39271,38420,851,2.21,50012,94806.35621,51167040962,9967.28462,9530
SHRIRAMFIN,62795,61442,1353,2.2,38088,95949.85092,23408697526,4630.55026,1012
BSE,98736,96617,2119,2.19,80580,80341.49274,55347952542,11653.62542,3799
SRF,32223,31532,691,2.19,8868,11561.04084,3833912384,615.18384,2740
AUBANK,37177,36389,788,2.17,9082,26300.6876,7076757300,1274.373,1039
ABCAPITAL,20543,20118,425,2.11,14163,39169.53447,14042729277,2285.55777,399
PREMIERENE,19602,19211,391,2.04,16621,15827.64976,10592464506,2552.35006,1101
EICHERMOT,86216,84509,1707,2.02,28123,24748.08501,18302192679,2295.07679,7259
SUZLON,64030,62764,1266,2.02,13049,18856.70219,7525244919,1056.12819,52
WIPRO,187533,183866,3667,1.99,48831,64323.9795,20258486340,3688.0884,176
CIPLA,60140,59014,1126,1.91,26672,20478.3691,14779290110,2166.6936,1436
HYUNDAI,23718,23284,434,1.86,6325,17049.82743,1754900947,210.75447,1958
DALBHARAT,21101,20718,383,1.85,4791,9845.72758,1826629931,285.41431,1760
IOC,56739,55720,1019,1.83,15459,22946.27448,8443005577,1231.98952,137
MAXHEALTH,37148,36489,659,1.81,15132,16653.54358,7300580841,1063.48341,1090
APOLLOHOSP,34937,34329,608,1.77,25477,41561.87753,24478420085,2578.26335,8910
LODHA,47644,46838,806,1.72,18956,40154.35431,9805982975,2305.70475,1147
CANBK,87066,85634,1432,1.67,18000,37245.80812,12105211590,2253.21615,125
NHPC,34034,33491,543,1.62,7742,10492.89594,3303856597,406.36997,78
HAL,70058,68964,1094,1.59,38936,33023.41575,23237752531,3870.75031,4429
NESTLEIND,40332,39717,615,1.55,10850,16927.34165,6226236160,1028.1116,1422
BEL,143513,141376,2137,1.51,40154,34627.54146,20643675550,3473.008,409
TATAPOWER,84141,82917,1224,1.48,20766,13357.65795,10367469216,1256.33466,377
CHOLAFIN,33260,32781,479,1.46,14526,36177.93481,12747675100,2179.501,1774
INOXWIND,32259,31802,457,1.44,10167,9912.52544,4601325632,708.00832,78
360ONE,17283,17049,234,1.37,10200,12679.07565,4476771135,1025.01135,1097
UPL,36642,36150,492,1.36,6562,12208.82777,4115422232,543.44957,594
M&M,153766,151703,2063,1.36,55583,54321.34374,29812795224,4645.53224,3092
MOTILALOFS,10873,10738,135,1.26,3340,10602.93139,1514556351,320.20101,965
POLICYBZR,42285,41762,523,1.25,7391,10503.31649,3143488561,622.21561,1570
HINDALCO,115499,114071,1428,1.25,93523,99632.36164,55939191147,9964.08147,972
SWIGGY,51470,50835,635,1.25,26048,36212.63714,9333874772,1845.38397,258
KFINTECH,21602,21337,265,1.24,10152,11647.10667,4233038628,811.59128,895
ASTRAL,37405,36960,445,1.2,36268,26470.26871,18841529526,3210.49526,1356
IDEA,119659,118242,1417,1.2,18627,31038.11166,16701950644,3270.28144,13
TATACONSUM,47206,46664,542,1.16,9575,11757.00856,4745896870,650.6687,1096
PETRONET,26240,25943,297,1.14,2434,3991.42329,900297045,122.75045,276
PNB,68886,68112,774,1.14,21398,26323.8712,15826566400,2719.264,104
AXISBANK,160498,158699,1799,1.13,47966,99263.93525,30285921675,4948.65425,1318
BOSCHLTD,19810,19591,219,1.12,5360,7814.99346,4960010685,508.54435,41470
INFY,552239,546447,5792,1.06,205775,179743.06496,74205068696,13776.78696,1092
JSWSTEEL,78050,77238,812,1.05,19122,27888.8541,13611335985,2207.19735,1246
INDIGO,85197,84335,862,1.02,63758,61460.50593,43743266428,8059.08928,5110
SONACOMS,22171,21952,219,1.0,7629,16930.87138,4667251568,1251.90443,667
BANKBARODA,92071,91203,868,0.95,19301,34586.66747,11137407693,1781.80031,246
ADANIENSOL,42102,41707,395,0.95,23704,54192.48097,22335043315,6117.88315,1688
