symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,217.9,182.0,178.0,,,,False,191742.6,1.276,5.203,,4405
21STCENMGM,44.93,33.8,30.6,,,,True,10928.25,0.827,9.188,,2123
360ONE,1197.0,1065.0,1031.3,,,,False,964681.95,1.321,4.068,,1712
3BBLACKBIO,1319.4,1140.0,1100.0,,,,False,8168.6,2.225,3.603,,83
3IINFOLTD,27.8,18.53,16.25,,,,False,1767162.5,0.135,6.518,,5264
3MINDIA,37300.0,34485.0,31010.0,37300.0,34485.0,20.0,False,4203.85,0.759,2.997,-6.408,5990
3PLAND,34.5,31.2,30.0,34.5,31.2,20.0,False,5864.15,0.697,2.933,-6.232,4544
5PAISA,408.35,344.0,299.0,,,,False,48382.8,0.855,4.878,,2163
63MOONS,957.95,686.0,626.4,,,,False,1640846.2,0.161,5.415,,5224
A2ZINFRA,17.95,12.0,12.0,,,,False,561866.8,0.338,5.406,,3862
AAATECH,101.98,87.26,85.0,,,,False,26537.15,2.164,3.547,,1425
AADHARHFC,517.8,486.25,449.8,517.8,486.25,20.0,False,310425.7,0.672,2.283,-5.823,563
AAKASH,9.75,8.38,8.38,,,,False,119203.1,0.569,5.17,,2041
AAREYDRUGS,87.5,74.1,73.41,,,,False,58242.95,1.987,3.43,,1244
AARNAV,33.45,28.1,23.51,33.45,28.1,20.0,False,72559.25,0.859,2.93,-6.637,116
AARON,154.8,111.15,111.15,,,,False,66157.3,0.694,5.98,,1953
AARTECH,52.74,44.85,39.98,,,,False,32689.9,4.986,3.517,,768
AARTIDRUGS,453.65,401.0,365.15,,,,False,226880.65,0.649,3.744,,5674
AARTIIND,541.7,469.0,424.0,,,,False,1704327.35,0.443,4.424,,5995
AARTIPHARM,932.6,650.8,607.0,,,,False,1253766.6,0.415,6.9,,878
AARTISURF,677.7,374.3,356.25,,,,False,101303.85,0.086,7.261,,1511
AARVI,164.9,150.0,128.0,164.9,150.0,20.0,False,40870.25,0.561,2.472,-7.459,2189
AASTHA,140.01,70.0,70.0,,,,False,5820847.75,0.102,14.837,,31
AATMAJ,19.95,16.7,16.7,,,,False,3500.0,1.143,9.192,,774
AAVAS,1544.9,1346.2,1247.6,,,,False,90619.5,1.25,4.528,,1944
ABAN,20.11,14.51,12.89,,,,False,49389.1,0.099,8.403,,5961
