symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
ACUTAAS,3480.3,13,7.682549504950501,2.73,0.41,60.77,,7.46,149.50568447350977,3256.04,3654.32,False,0,Buy,Health Technology
MARICO,849.65,13,5.796289378657695,0.85,2.26,54.02,0.0,7.04,16.577893669356293,824.78,892.13,False,0,Strong buy,Consumer Non-Durables
KIRLOSENG,2269.3,13,23.532934131736532,18.58,19.83,43.68,,19.86,117.82188590549625,2092.57,2382.77,False,0,Buy,Producer Manufacturing
MANKIND,2547.0,13,9.543675540836956,4.59,2.27,49.45,0.14,6.65,63.824737168007445,2451.26,2674.35,False,0,Strong buy,Health Technology
ABCAPITAL,400.15,13,13.678977272727268,8.73,6.59,57.3,-0.16,6.19,10.29039828506273,384.71,420.16,False,0,Strong buy,Finance
PAGEIND,42380.0,13,10.68164011491251,5.73,7.14,56.31,0.58,16.52,1113.2605355467886,40710.11,44499.0,False,0,Buy,Consumer Non-Durables
MEDANTA,1328.6,13,8.016260162601618,3.07,0.75,55.27,,9.63,33.19217038639438,1278.81,1395.03,False,0,Buy,Health Services
DELHIVERY,514.0,13,16.02708803611738,11.08,12.33,60.23,-0.22,7.73,14.24373475586295,492.63,539.7,False,0,Buy,Transportation
AADHARHFC,540.15,13,17.16919739696312,12.22,10.08,47.88,,14.36,16.98676430067202,514.67,567.16,False,0,Buy,Finance
DEEPAKFERT,1563.7,13,11.53352353780314,6.58,18.19,47.63,,18.31,52.292290209587016,1485.26,1641.89,False,0,Buy,Process Industries
BHARATFORG,2119.5,13,10.974396565265192,6.02,7.27,58.67,0.06,5.59,58.97149698205203,2031.04,2225.48,False,0,Buy,Producer Manufacturing
NAVINFLUOR,7595.0,12,8.5,3.55,15.16,57.65,,2.83,211.61592660976527,7277.58,7974.75,False,0,Buy,Process Industries
FLUOROCHEM,3926.1,12,10.906779661016946,5.96,17.57,52.12,,3.47,112.50774284864704,3757.34,4122.4,False,0,Buy,Process Industries
BOSCHLTD,41700.0,12,13.023444911234584,8.07,9.32,55.93,0.45,2.07,958.7866656328152,40261.82,43785.0,False,0,Buy,Producer Manufacturing
EICHERMOT,7435.5,12,6.449534717251253,1.5,2.75,54.64,0.13,10.69,176.99854943597074,7170.0,7807.28,False,0,Buy,Consumer Durables
WELCORP,1550.2,12,13.985294117647062,9.04,10.29,44.5,,4.74,53.43128806106933,1470.05,1627.71,False,0,Buy,Producer Manufacturing
SCHNEIDER,1482.7,12,29.04264577893821,24.09,25.34,62.34,,1.94,68.26411934112105,1380.3,1556.84,False,0,Buy,Producer Manufacturing
HONAUT,38320.0,12,11.7201166180758,6.77,13.88,36.79,,7.19,983.8611130601904,36844.21,40236.0,False,2,Buy,Electronic Technology
AJANTPHARM,3363.2,12,14.196461919798988,9.25,6.93,58.42,,4.27,112.79948399672014,3194.0,3531.36,False,0,Strong buy,Health Technology
CEMPRO,1467.9,12,35.91666666666667,30.97,39.53,44.2,,8.82,66.69879671805288,1367.85,1541.3,False,0,Buy,Industrial Services
