symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
NIFTY,5339539,4893540,445999,9.11,3211996,90102.36128,5091418919033,152427.52283,24279
NAUKRI,57546,53658,3888,7.25,22558,19244.03844,13231473629,3546.92129,1201
SBILIFE,34184,33517,667,1.99,1638,6280.62172,507596145,81.33645,1820
HINDPETRO,35407,34757,650,1.87,4577,7985.49273,2907790731,605.90106,389
OIL,18665,18324,341,1.86,2443,2756.3711,1247882538,223.71538,428
NIFTYNXT50,854,841,13,1.55,33,593.93325,0,0.0,71732
UNOMINDA,14301,14107,194,1.38,917,2807.28486,304703844,79.01844,1130
BPCL,37311,36871,440,1.19,4439,3498.83574,2397032753,458.44628,302
KALYANKJIL,54139,53511,628,1.17,6041,6128.91454,2438857741,674.88241,361
NAM-INDIA,12562,12433,129,1.04,282,1476.71062,68108668,20.58668,1209
RELIANCE,470390,465598,4792,1.03,19383,22568.50185,10625219495,1430.69495,1291
INDIGO,78019,77280,739,0.96,5900,7468.71297,4021291053,790.43553,5285
FINNIFTY,5001,4955,46,0.93,684,289.98669,1086402683,89.73683,26830
SRF,32334,32045,289,0.9,1174,1066.91938,559760802,115.82802,2793
ASIANPAINT,57370,56889,481,0.85,3045,2371.31592,1860041380,249.2138,2683
TRENT,133882,132853,1029,0.77,6470,4633.65337,3955427703,751.6885,2921
ZYDUSLIFE,16983,16856,127,0.75,1310,2237.7573,1178110080,223.5708,1168
360ONE,15791,15684,107,0.68,273,924.3315,67756115,15.16115,1140
BDL,33456,33235,221,0.66,846,668.44076,447598627,99.08127,1386
SHREECEM,19064,18939,125,0.66,277,1586.86738,26730155,5.42655,26535
POLYCAB,32000,31801,199,0.63,995,2240.13135,966691083,195.53583,9337
POLICYBZR,40798,40548,250,0.62,1024,2024.1137,384757793,85.07793,1589
RADICO,8016,7967,49,0.62,427,350.10831,246233916,30.46416,4102
JSWENERGY,36631,36420,211,0.58,581,1771.27836,168794285,33.0341,542
PAGEIND,18700,18593,107,0.58,755,1344.80599,529912578,107.02578,42455
VEDL,109429,108864,565,0.52,5639,2740.63273,1593072644,484.73144,274
PNB,64181,63860,321,0.5,1287,2724.4576,826858400,135.224,102
MCX,117947,117361,586,0.5,9102,10334.17154,4618276233,1048.99983,2650
MOTILALOFS,9366,9321,45,0.48,153,885.66736,24519434,6.02934,942
PFC,60998,60705,293,0.48,1753,1753.51371,795227901,110.61401,408
BOSCHLTD,16977,16901,76,0.45,410,2088.43867,229917264,28.86014,41785
SHRIRAMFIN,59547,59289,258,0.44,3414,5178.21562,2502535546,566.16796,1041
ONGC,77532,77198,334,0.43,5958,5880.74355,2798915400,558.279,246
PAYTM,44064,43875,189,0.43,716,1941.69848,470385118,106.77118,1243
LT,159379,158709,670,0.42,5127,7187.23178,2920832608,364.14358,3947
ADANIGREEN,52405,52187,218,0.42,739,1866.3321,520542552,122.28552,1519
DRREDDY,43686,43507,179,0.41,4402,3061.00025,3558664206,605.76706,1378
CONCOR,27351,27242,109,0.4,752,641.163,394651112,57.76112,468
JUBLFOOD,27610,27502,108,0.39,1341,687.2435,712438875,157.51375,451
MUTHOOTFIN,35269,35139,130,0.37,1085,2775.83344,671593744,130.09994,3107
COCHINSHIP,33451,33328,123,0.37,4174,8880.84348,1550931744,360.83744,1422
ANGELONE,19130,19060,70,0.37,579,1738.134,329141425,98.16425,335
HINDUNILVR,100354,100006,348,0.35,1741,1691.14554,1003353777,123.63777,2194
ASHOKLEY,58477,58282,195,0.33,2113,5303.8645,1230030650,186.6815,162
WIPRO,179553,178974,579,0.32,2073,3621.6342,731315220,153.5772,173
IRFC,41328,41197,131,0.32,783,534.31421,350219066,72.01741,88
BANKBARODA,88651,88370,281,0.32,2015,1843.39525,1333913811,242.24586,245
KOTAKBANK,150335,149859,476,0.32,1447,2555.5728,881515820,120.7582,380
TMPV,115715,115372,343,0.3,2120,2014.44816,1026735728,161.43728,340
ICICIGI,18811,18756,55,0.29,502,1538.71549,145527460,35.9346,1803
HINDZINC,53454,53299,155,0.29,1828,3406.31217,887602133,198.61133,525
BHEL,58782,58612,170,0.29,1885,2990.46116,1646461293,367.32543,373
LODHA,29203,29120,83,0.29,1101,2917.75137,461430731,111.05731,1094
PHOENIXLTD,14345,14305,40,0.28,191,613.79605,79014918,17.27918,2068
PIDILITIND,17948,17898,50,0.28,220,583.79545,116539055,16.09055,1610
PGEL,23697,23631,66,0.28,648,1092.05236,254091512,56.85512,573
PERSISTENT,76023,75813,210,0.28,2327,2421.53441,1212536713,352.67963,4880
CIPLA,57334,57179,155,0.27,1526,911.03178,886489556,140.45306,1469
MAXHEALTH,38358,38255,103,0.27,743,235.9182,432245273,69.63773,1125
