identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY30-06-2026PE23900.00,Index Options,NIFTY,30-Jun-2026,Put,23900,64.5,3815968,156809.57302399998,279196.0,23884.25,28.10327706057597
OPTIDXNIFTY30-06-2026CE24000.00,Index Options,NIFTY,30-Jun-2026,Call,24000,23.85,3286338,72969.848952,708257.3076923077,23884.25,-62.90824261275272
OPTIDXNIFTY30-06-2026PE23800.00,Index Options,NIFTY,30-Jun-2026,Put,23800,24.15,3176286,56094.798903,303361.0,23884.25,-0.41237113402061853
OPTIDXNIFTY30-06-2026PE23850.00,Index Options,NIFTY,30-Jun-2026,Put,23850,40.8,2990080,85419.1104,228695.0,23884.25,15.74468085106383
OPTIDXNIFTY30-06-2026CE23900.00,Index Options,NIFTY,30-Jun-2026,Call,23900,56.5,2752671,119145.23522850001,396989.0,23884.25,-52.07803223070399
OPTIDXNIFTY30-06-2026CE23950.00,Index Options,NIFTY,30-Jun-2026,Call,23950,36.9,2159550,68262.295725,333816.0,23884.25,-57.90074158585282
OPTIDXNIFTY30-06-2026CE24100.00,Index Options,NIFTY,30-Jun-2026,Call,24100,9.55,1986683,18246.6900135,421525.0,23884.25,-70.47913446676971
OPTIDXNIFTY30-06-2026PE23700.00,Index Options,NIFTY,30-Jun-2026,Put,23700,7.6,1960514,11940.510517,212911.0,23884.25,-32.44444444444444
OPTIDXNIFTY30-06-2026PE23950.00,Index Options,NIFTY,30-Jun-2026,Put,23950,95.2,1892416,102723.179104,106102.0,23884.25,33.80182712579058
OPTIDXNIFTY30-06-2026PE23750.00,Index Options,NIFTY,30-Jun-2026,Put,23750,13.55,1837851,19053.9202425,206516.0,23884.25,-16.358024691358025
OPTIDXNIFTY30-06-2026CE24050.00,Index Options,NIFTY,30-Jun-2026,Call,24050,14.85,1759892,25875.692076,310073.0,23884.25,-67.39846322722283
OPTIDXNIFTY30-06-2026PE24000.00,Index Options,NIFTY,30-Jun-2026,Put,24000,131.6,1756154,127699.616187,191716.3076923077,23884.25,36.44375324002073
OPTIDXNIFTY30-06-2026CE24200.00,Index Options,NIFTY,30-Jun-2026,Call,24200,4.4,1319465,5103.0308875,291315.0,23884.25,-72.2397476340694
OPTIDXNIFTY30-06-2026PE23650.00,Index Options,NIFTY,30-Jun-2026,Put,23650,4.25,1232326,4493.676759,112144.0,23884.25,-44.8051948051948
OPTIDXNIFTY30-06-2026PE23500.00,Index Options,NIFTY,30-Jun-2026,Put,23500,1.5,1217537,1384.9483375,262826.0,23884.25,-54.54545454545455
OPTIDXNIFTY30-06-2026PE23600.00,Index Options,NIFTY,30-Jun-2026,Put,23600,2.6,1210368,2533.300224,175959.0,23884.25,-52.293577981651374
OPTIDXNIFTY30-06-2026CE24150.00,Index Options,NIFTY,30-Jun-2026,Call,24150,6.4,1129370,6628.837215,176440.0,23884.25,-71.7439293598234
OPTIDXNIFTY30-06-2026CE23850.00,Index Options,NIFTY,30-Jun-2026,Call,23850,83.2,1056862,62568.344123999996,134723.0,23884.25,-45.26315789473684
OPTIDXNIFTY30-06-2026CE24500.00,Index Options,NIFTY,30-Jun-2026,Call,24500,1.45,997650,992.162925,317604.0,23884.25,-53.96825396825397
OPTIDXNIFTY30-06-2026CE24300.00,Index Options,NIFTY,30-Jun-2026,Call,24300,2.3,961425,1706.0486625,235919.0,23884.25,-69.93464052287581
