index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,30-Jun-2026,23885.65,5887185.923076923,3745715.4615384615,0.64,23900,12.77
BANKNIFTY,30-Jun-2026,57743.4,940402.0,831778.0,0.88,57700,15.17
