symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-0.8497723823975756,-0.6235741444866955,1.18,3.99,-5.19,-2.03,-4.61,4.57
HDFCBANK,Finance,NIFTY_FIN_SERVICE,0.469630557294928,7.764121163274894,1.18,3.99,4.94,-0.71,3.77,2.82
BHARTIARTL,Communications,,0.4509283819628647,3.475599759549697,1.18,3.99,,-0.73,-0.51,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,2.2360518127216054,15.812771538650695,1.18,3.99,4.94,1.06,11.82,10.87
SBIN,Finance,NIFTY_FIN_SERVICE,0.2788461538461625,9.347313237221504,1.18,3.99,4.94,-0.9,5.36,4.41
TCS,Technology Services,NIFTY_IT,-2.2122234720659835,-12.812369410781445,1.18,3.99,-7.14,-3.39,-16.8,-5.67
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,3.563541457538647,16.97278911564626,1.18,3.99,4.94,2.38,12.98,12.03
LT,Industrial Services,NIFTY_ENERGY,-3.258854290468265,1.7246119623084806,1.18,3.99,-5.19,-4.44,-2.27,6.91
LICI,Finance,NIFTY_FIN_SERVICE,2.2458628841607564,7.936111804342404,1.18,3.99,4.94,1.07,3.95,3.0
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,3.114298935677936,6.51529636711282,1.18,3.99,0.41,1.93,2.53,6.11
MARUTI,Consumer Durables,NIFTY_AUTO,7.987722712980985,10.842169970800676,1.18,3.99,0.86,6.81,6.85,9.98
SUNPHARMA,Health Technology,NIFTY_PHARMA,1.8074866310160405,6.895002807411564,1.18,3.99,6.7,0.63,2.91,0.2
ADANIPOWER,Utilities,NIFTY_ENERGY,-3.519391240434081,-5.843881856540082,1.18,3.99,-5.19,-4.7,-9.83,-0.65
ADANIPORTS,Transportation,NIFTY_AUTO,3.849335465725471,2.9353886520170445,1.18,3.99,0.86,2.67,-1.05,2.08
AXISBANK,Finance,NIFTY_FIN_SERVICE,-1.5574302401038385,9.653843064814074,1.18,3.99,4.94,-2.74,5.66,4.71
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,2.119248217757618,6.466216216216218,1.18,3.99,4.94,0.94,2.48,1.53
INFY,Technology Services,NIFTY_IT,-1.802816901408455,-15.803880524917476,1.18,3.99,-7.14,-2.98,-19.79,-8.66
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,-2.478632478632473,5.760063559322034,1.18,3.99,4.94,-3.66,1.77,0.82
TITAN,Consumer Durables,NIFTY_AUTO,3.14878892733564,10.216909046093171,1.18,3.99,0.86,1.97,6.23,9.36
M&M,Consumer Durables,NIFTY_AUTO,2.032362459546932,5.23364485981309,1.18,3.99,0.86,0.85,1.24,4.37
ITC,Consumer Non-Durables,NIFTY_FMCG,0.1377647666609186,2.9750309899061365,1.18,3.99,0.41,-1.04,-1.01,2.57
NTPC,Utilities,NIFTY_ENERGY,0.0,-3.151745686727353,1.18,3.99,-5.19,-1.18,-7.14,2.04
ULTRACEMCO,Non-Energy Minerals,NIFTY_METAL,1.8890920170627663,4.6869409660107335,1.18,3.99,-7.2,0.71,0.7,11.89
BEL,Electronic Technology,NIFTY_IT,2.2001934235976703,3.6029411764705856,1.18,3.99,-7.14,1.02,-0.39,10.74
JSWSTEEL,Non-Energy Minerals,NIFTY_METAL,1.6003919327182092,-5.376425855513311,1.18,3.99,-7.2,0.42,-9.37,1.82
HAL,Electronic Technology,NIFTY_IT,2.5154507514424544,4.649051332790125,1.18,3.99,-7.14,1.34,0.66,11.79
ONGC,Energy Minerals,NIFTY_ENERGY,-1.5780730897010014,-10.616632095040536,1.18,3.99,-5.19,-2.76,-14.61,-5.43
BAJAJFINSV,Finance,NIFTY_FIN_SERVICE,6.424581005586592,9.545715928694651,1.18,3.99,4.94,5.24,5.56,4.61
