symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
MARICO,845.75,14,4.82121831815083,0.83,4.41,53.88,26.41,6.86,18.126096079133607,818.56,888.04,False,0,Buy,Consumer Non-Durables
RRKABEL,2402.5,13,18.64197530864197,14.65,17.78,40.06,,6.1,91.06473397217592,2265.9,2522.62,False,0,Buy,Producer Manufacturing
HFCL,209.5,13,10.321221695629276,6.33,17.46,44.55,,5.05,10.118362426023028,194.32,219.98,False,0,Buy,Electronic Technology
GMRAIRPORT,111.1,13,12.1655729429581,8.18,11.31,64.16,0.24,7.67,2.913089705457196,106.73,116.66,False,0,Buy,Transportation
DEEPAKFERT,1657.6,13,17.560283687943258,13.57,24.76,46.96,,11.61,52.316389904788814,1579.13,1740.48,False,0,Strong buy,Process Industries
EMCURE,1850.1,13,7.689173457508725,3.7,0.99,47.76,,5.08,58.646381976912615,1762.13,1942.6,False,0,Strong buy,Health Technology
ABCAPITAL,399.0,13,13.902369397659148,9.91,8.96,45.13,-0.85,5.66,10.541935123186487,383.19,418.95,False,0,Strong buy,Finance
KIRLOSENG,2298.0,13,22.749853106137497,18.76,21.89,45.56,,18.36,116.55894625611366,2123.16,2412.9,False,0,Buy,Producer Manufacturing
MANKIND,2506.0,13,8.017241379310345,4.03,1.32,60.98,1.52,8.4,67.53926793179578,2404.69,2631.3,False,0,Strong buy,Health Technology
CPPLUS,3565.8,13,10.225656877897997,6.24,9.37,54.18,,6.2,153.19348820451077,3336.01,3744.09,False,0,Buy,Consumer Durables
AIAENG,4796.5,13,6.0,2.01,5.14,57.19,,8.0,169.053887142126,4542.92,5036.32,False,0,Buy,Producer Manufacturing
PAGEIND,43170.0,13,15.98602901665771,12.0,15.58,54.96,0.05,14.38,1143.8660424463692,41454.2,45328.5,False,0,Buy,Consumer Non-Durables
WELCORP,1472.4,13,6.302794022092281,2.31,5.44,40.48,,10.28,47.03126543188891,1401.85,1546.02,False,0,Buy,Producer Manufacturing
SUNPHARMA,1903.8,13,6.895002807411564,2.91,0.2,63.29,0.65,8.52,30.225586094680175,1858.46,1998.99,False,2,Strong buy,Health Technology
KPIL,1369.4,13,5.606539677643252,1.62,10.8,61.85,,11.01,45.05824000467889,1301.81,1437.87,False,0,Buy,Industrial Services
CARBORUNIV,1135.2,13,10.224293620739871,6.23,17.42,42.37,,15.13,49.57794552961117,1060.83,1191.96,False,0,Buy,Process Industries
CUB,218.19,13,16.20531256241263,12.22,11.27,64.91,,11.84,6.758846686147325,208.05,229.1,False,0,Buy,Finance
TORNTPHARM,4750.4,12,10.016443178396909,6.03,3.32,55.4,-1.11,3.63,108.94240933112656,4586.99,4987.92,False,0,Strong buy,Health Technology
TRENT,3343.0,12,18.827013623874407,14.84,18.42,42.6,0.5,13.15,86.60486853318548,3213.09,3510.15,False,0,Strong buy,Retail Trade
BHARATFORG,2160.1,12,13.20685498663592,9.22,12.35,51.67,0.19,3.61,62.92758723137106,2065.71,2268.1,False,2,Strong buy,Producer Manufacturing
