index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,07-Jul-2026,24342.05,2296568,3499038,1.52,24300,8.9
BANKNIFTY,28-Jul-2026,58042.9,391958,341146,0.87,58100,13.65
