symbol,company,sector,industry,close,change_pct,volume,rel_volume,market_cap,pe,pb,roe,debt_to_equity,eps_ttm,div_yield,tech_rating,ma_rating,osc_rating,rsi,momentum,awesome_osc,cci20,stoch_k,stoch_d,macd,adx,atr,sma50,sma200,perf_1w,perf_1m,perf_1y,candle_patterns
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,1309.5,-1.400496950530827,24887034,1.4930172637241768,17718829691100.0,21.938090858374924,1.9601974388100682,9.24606376950945,0.4402508766302,59.6907,0.42005575285447,Sell,Strong sell,Neutral,46.14647816534761,18.5,-23.75147058823245,9.43846674883466,75.29888310879342,70.13780169369231,-12.010586502176693,19.704369982666723,26.786783974477373,1348.2959999999998,1421.293000000001,2.5450274079874706,-0.6976567831955748,-8.432976714915036,
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,779.8,-2.4030037546933727,33798761,1.0026505207514216,12012604804688.0,15.827075299370811,,13.765023464607,1.0041379418372,49.27,1.41025641025641,Neutral,Buy,Sell,54.528348308271866,32.75,21.167499999998086,75.65094418101603,83.3429978159791,85.19097574270064,3.14350763160553,20.27199085319263,17.24075307598552,774.9940000000015,900.5754999999983,3.3258248310586866,2.659294365455494,-19.354671906510166,
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,1910.8,1.920204821847664,15918432,2.537151897798046,11623241516750.0,43.47351273627403,7.8125798563168924,20.3215106088605,1.31098991926557,43.9532,0.838310803730483,Buy,Strong buy,Neutral,63.686937767355865,112.59999999999991,21.389117647061084,151.11371172224818,96.58939837695533,90.91938341494983,6.701438081669949,17.398748991874776,37.55316319169911,1843.6519999999985,1951.8634999999986,7.107623318385648,-0.16718913270637648,2.07264957264957,
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,1346.5,0.31289577590702866,9057322,0.5199486802432793,9660220593199.0,18.00615137737363,,16.0148883957153,0.6066876859418521,74.78,0.816750816750817,Buy,Strong buy,Neutral,65.8399858907436,84.40000000000009,66.21441176470307,112.65554673020911,86.01789709172255,83.10216256524974,19.38087189542216,24.271454290002545,24.990986147386053,1290.824,1346.322,1.2406015037593985,9.471544715447154,-4.3678977272727275,
SBIN,State Bank of India,Finance,Regional Banks,1035.1,-0.728876954061584,9099878,0.6437103554875133,9554151781427.0,11.37105155037823,1.602770930959686,15.3805889022211,1.3396637584022402,91.0294,1.67624752427419,Buy,Strong buy,Sell,61.72006281335528,57.399999999999864,32.698676470588566,122.64651286131031,93.23916796790691,89.91506497738165,7.039902378164811,17.763224488557718,20.670127776732155,1022.3850000000001,995.4600000000006,1.6797642436149223,9.988311550313451,30.63671357354703,harami_bearish
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,2125.0,-3.5537602686878853,13286502,3.6128770407048667,7693500699015.0,15.623724828341217,7.169373462211565,48.723737103705,0.10638754196195499,136.0111,3.00978179082017,Strong sell,Strong sell,Neutral,36.39141318065748,-73.90000000000009,-105.87794117647172,-123.93086016289257,25.253784628308043,25.986533083740373,-52.20699503957712,17.223155212437042,63.25140233714374,2354.2720000000027,2821.3814999999945,-1.1627906976744187,-8.558888076079008,-38.405797101449274,falling_window_bearish
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,961.8,0.30766021796943543,12941776,1.517555715996223,5985012418140.0,31.513761467889907,,18.052322754331,3.21563939760184,30.52,0.457713512951212,Buy,Strong buy,Sell,62.89299360435661,72.39999999999998,34.65544117647073,115.79803613968141,93.63432007718723,93.3584418055508,9.940502624128385,17.440924834583562,23.671966803327546,920.3300000000004,964.643500000001,9.146618247843838,5.692307692307687,4.657236126224152,
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,4209.4,0.4630071599045259,1397746,0.6589714236359882,5791269463059.0,36.01471594798083,4.5331445840509765,16.8428484034919,1.1482918808525602,116.88,0.902698593690612,Buy,Strong buy,Neutral,65.51846446421462,256.1999999999998,195.77147058823812,121.9116160614504,89.85995028470357,89.19423139952653,57.48564059294449,18.18846136996434,83.96912074066343,4009.543999999999,3918.7415,7.109414758269711,7.8890711502973065,16.700859439977812,
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,440.15,2.3604651162790646,12106383,3.169232360864931,5567262928284.0,9.691433050616077,,11.6343965876657,,45.4164,1.36332651670075,Buy,Strong buy,Neutral,69.72325251262995,40.25,14.50433823529346,213.22259799934244,84.92781071183474,73.5683010594632,5.256038658896273,17.50439048171965,10.611073181766452,406.0350000000002,423.4114999999992,11.120929058318595,9.653712007972098,-5.749464668094223,
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,2194.6,-1.0773044850123998,1508994,1.0090665221558188,5159467325089.0,34.292232448396014,10.579644582562493,21.5261715287189,0.030324791234945303,63.997,1.95819481761465,Sell,Neutral,Sell,52.1165601604019,73.09999999999991,-10.413529411769105,63.85919283015964,86.76316341514583,84.5899258936346,-5.313927388398042,20.24076703435629,46.86086175038496,2215.033999999998,2336.587694042205,2.017478616586096,-1.3618589599532644,-3.0851359029047685,
