symbol,company,sector,industry,market_cap,cmp,previous_close,ema20,ema50,ema100,ema200,sma50,sma200,supertrend,ichimoku_signal,trend_label,trend_score,rsi14,macd,macd_signal,macd_hist,adx14,roc20,stoch_rsi,momentum_score,volume,avg_volume_10d,avg_volume_30d,relative_volume,delivery_pct,obv,cmf,volume_score,support1,support2,resistance1,resistance2,pivot,vwap,atr14,entry_low,entry_high,stop_loss,target1,target2,target3,risk_reward,rs_rank,return_1m,return_3m,dist_52w_high_pct,rs_vs_nifty_1m,rs_vs_sector_1m,pe,pb,peg,ev_ebitda,roe,roce,debt_equity,revenue_growth,profit_growth,operating_margin,fcf,fundamental_score,revenue_surprise,profit_surprise,eps_growth,margin_expansion,guidance,order_book_growth,earnings_score,promoter_holding,promoter_pledge,fii_holding,dii_holding,mf_holding,insider_buying,institution_score,news_count_7d,news_sentiment,catalyst_strength,major_catalyst,risk_event,news_score,in_oi_spurt,oi_change_pct,fno_score,pcr,max_pain,liquidity_sweep,smart_money_score,technical_score,fundamental_score_final,earnings_score_final,news_score_final,institution_score,sector_score,macro_score,risk_score,earnings_within_21d,days_to_earnings,event_risk_score,tech_rating,analyst_rec,price_target_avg
RELIANCE,Reliance Industries Limited,Energy Minerals,Oil Refining/Marketing,17718829691100.0,1309.5,1328.1,,1342.5196760195636,,1393.9970163576374,1348.2959999999998,1421.293000000001,,,Bearish,0,46.14647816534761,-12.010586502176691,-17.860212368141603,5.8496,19.704369982666723,3.6570885775350312,89.25585655922147,60,24887034.0,17379133.7,17232944.500000004,1.4930172637241768,56.64,,,100,1297.14,1284.77,1330.04,1350.57,1317.67,1317.6666666666667,26.786783974477373,1296.11,1322.89,1269.32,1336.29,1363.07,1389.86,0.67,8.0,-0.6976567831955748,-6.330472103004292,-18.76,-2.2,-1.68,21.938090858374924,1.960197438810068,1.3928034416345956,11.781630347808594,9.24606376950945,7.06007289508876,0.4402508766302,9.591237834212542,15.974757473959905,11.4698089988924,,60,,,15.974757473959905,,,,67,,,,,,,,0,,,,,,True,8.51,3.0,,,,3.0,44,60,67,,,7.0,30,60,False,26.0,0.0,Sell,1.076923,1687.28
HDFCBANK,HDFC Bank Limited,Finance,Major Banks,12012604804688.0,779.8,799.0,,780.6329555869248,,863.3555085375334,774.9940000000015,900.5754999999983,,,Bearish,33,54.528348308271866,3.14350763160553,-2.666327546587545,5.8098,20.27199085319263,5.57097407432478,87.73229223572025,80,33798761.0,34877632.8,38310636.7,1.0026505207514216,62.93,,,67,774.31,768.83,787.16,794.53,781.68,781.6833333333334,17.24075307598552,771.18,788.42,753.94,797.04,814.28,831.52,0.67,20.0,2.659294365455494,-0.6624203821656109,-23.59,1.16,-1.83,15.827075299370811,,2.440438215536405,,13.765023464607,6.44201959554742,1.0041379418372,5.212582211861043,6.645021645021646,32.95187578164424,,40,,,6.645021645021646,,,,100,,,,,,,,0,,,,,,True,0.06,3.0,,,,3.0,59,40,100,,,60.0,30,60,False,29.0,0.0,Neutral,1.035714,1047.186047
BHARTIARTL,Bharti Airtel Limited,Communications,Wireless Telecommunications,11623241516750.0,1910.8,1874.8,,1849.6040204444005,,1893.7203200047556,1843.6519999999985,1951.8634999999983,,,Bullish,83,63.686937767355865,6.701438081669949,-3.7361854817738944,10.4376,17.398748991874776,5.376937076049193,99.6517813078489,80,15918432.0,7473306.099999999,10043504.166666668,2.537151897798046,77.05,,,100,1879.5,1848.2,1929.8,1948.8,1898.5,1898.5,37.55316319169911,1892.02,1929.58,1854.47,1948.35,1985.91,2023.46,0.67,34.0,-0.1671891327063764,4.187568157033804,-12.13,-1.67,,43.47351273627403,7.8125798563168924,,11.368881855992711,20.3215106088605,9.08236481301509,1.31098991926557,21.96002895045356,-20.29608889920501,31.7404423698221,,40,,,-20.29608889920501,,,,67,,,,,,,,0,,,,,,True,5.37,3.0,,,,3.0,85,40,67,,,74.0,30,60,False,45.0,0.0,Buy,1.19697,2287.272727
ICICIBANK,ICICI Bank Limited,Finance,Regional Banks,9660220593199.0,1346.5,1342.3,,1292.3997646716878,,1328.4383707899322,1290.824,1346.322,,,Bullish,100,65.8399858907436,19.38087189542216,9.829524235087916,9.5513,24.271454290002545,7.702767557190846,94.98699860957224,80,9057322.0,17308739.000000022,17296935.133333333,0.5199486802432793,64.88,,,33,1334.9,1323.3,1355.2,1363.9,1343.6,1343.6,24.990986147386053,1334.0,1359.0,1309.01,1371.49,1396.48,1421.47,0.67,40.0,9.471544715447154,7.000953591862675,-10.23,7.97,4.98,18.00615137737363,,2.4421798212255954,,16.0148883957153,9.55076371105473,0.6066876859418521,5.951187109652587,7.349985644559295,34.54095028467912,,80,,,7.349985644559295,,,,100,,,,,,,,0,,,,,,True,0.43,3.0,,,,3.0,79,80,100,,,60.0,30,50,False,29.0,0.0,Buy,1.06383,1683.466667
SBIN,State Bank of India,Finance,Regional Banks,9554151781427.0,1035.1,1042.7,,1016.668577578111,,990.5385102398468,1022.385,995.4600000000006,,,Bullish,83,61.72006281335528,7.039902378164811,-2.393423163890206,9.4333,17.763224488557718,5.412699220937916,95.79747068004576,80,9099878.0,12951037.300000018,17636013.533333346,0.6437103554875133,61.97,,,33,1028.94,1022.77,1041.64,1048.17,1035.47,1035.4666666666667,20.670127776732155,1024.76,1045.44,1004.09,1055.77,1076.44,1097.11,0.67,15.0,9.988311550313451,-2.2014361300075755,-16.17,8.49,5.5,11.37105155037823,1.602770930959686,2.4149291418198566,,15.3805889022211,6.660692553910601,1.3396637584022402,6.975820605233501,4.743220354585112,28.129242852760616,,60,,,4.743220354585112,,,,67,,,,,,,,0,,,,,,True,0.62,3.0,,,,3.0,72,60,67,,,60.0,30,40,False,40.0,0.0,Buy,1.2375,1211.6
TCS,Tata Consultancy Services Limited,Technology Services,Information Technology Services,7693500699015.0,2125.0,2203.3,,2333.586008527184,,2763.172026268984,2354.2720000000027,2821.3814999999945,,,Bearish,0,36.39141318065748,-52.20699503957712,-54.893640839813685,2.6866,17.223155212437042,-1.2271079297201863,31.02314142399327,20,13286502.0,4504219.1,5407494.2,3.6128770407048663,51.78,,,100,2077.26,2029.53,2155.36,2185.73,2107.63,2107.633333333333,63.25140233714374,2093.37,2156.63,2030.12,2188.25,2251.5,2314.75,0.67,3.0,-8.558888076079008,-10.93880972338642,-39.11,-10.06,-2.54,15.623724828341215,7.169373462211565,11.971383257261412,10.156621314145418,48.723737103705,44.8560477273452,0.1063875419619549,4.581237956478828,1.3531780570392975,25.0309900719419,15.222817043024593,80,,,1.3531780570392975,,,,100,,,,,,,,0,,,,,,True,9.39,3.0,,,,3.0,28,80,100,,,39.0,30,75,True,18.0,3.0,Strong sell,1.511111,2889.547619
BAJFINANCE,Bajaj Finance Limited,Finance,Finance/Rental/Leasing,5985012418140.0,961.8,958.85,,918.8351680264864,,931.2199216100796,920.3300000000004,964.643500000001,,,Bullish,83,62.89299360435661,9.940502624128383,0.7179952929330993,9.2225,17.440924834583562,10.41212260360463,99.0788055123646,80,12941776.0,8494753.1,9518053.5,1.517555715996223,76.31,,,100,952.8,943.8,971.25,980.7,962.25,962.25,23.671966803327543,949.96,973.64,926.29,985.47,1009.14,1032.82,0.67,58.0,5.692307692307687,14.95159555396198,-12.76,4.19,1.2,31.513761467889907,,2.281524687407089,25.671338337980696,18.052322754331,4.96055743867703,3.21563939760184,18.3647764826221,13.77022291806456,43.7265523464435,,60,,,13.77022291806456,,,,100,,,,,,,,0,,,,,,True,3.13,3.0,,,,3.0,85,60,100,,,60.0,30,70,False,37.0,2.0,Buy,1.444444,1064.138889
LT,Larsen & Toubro Limited,Industrial Services,Engineering & Construction,5791269463059.0,4209.4,4190.0,,3993.605182623431,,3892.0686242807706,4009.543999999999,3918.7415,,,Bullish,100,65.51846446421462,57.48564059294449,28.506780827644175,28.9789,18.18846136996434,8.615662495161905,96.68887623803649,80,1397746.0,2133052.9000000064,2041516.066666667,0.6589714236359882,54.16,,,33,4174.84,4140.27,4230.74,4252.07,4196.17,4196.166666666667,83.96912074066343,4167.42,4251.38,4083.45,4293.37,4377.34,4461.31,0.67,71.0,7.889071150297306,21.13381294964028,-5.19,6.39,6.91,36.01471594798083,4.5331445840509765,5.161934269938032,22.073970908372708,16.8428484034919,10.4602183989046,1.1482918808525602,11.78560370784602,6.944825693110064,8.67037685198086,,40,,,6.944825693110064,,,,100,,,,,,,,2,,,,,,True,1.09,3.0,,,,3.0,79,40,100,,,94.0,30,60,False,38.0,2.0,Buy,1.37931,4424.62069
LICI,Life Insurance Corp. of India,Finance,Life/Health Insurance,5567262928284.0,440.15,430.0,,406.64059330030034,,418.7310083721003,406.0350000000002,423.4114999999992,,,Bullish,100,69.72325251262995,5.256038658896273,1.4810777947146545,3.775,17.50439048171965,11.289506953223762,100.0,80,12106383.0,4712550.1,5603614.266666667,3.169232360864931,33.62,,,83,430.06,419.98,450.21,460.28,440.13,440.1333333333334,10.611073181766452,434.84,445.46,424.23,450.76,461.37,471.98,0.67,56.0,9.653712007972098,13.73385012919896,-10.17,8.15,5.16,9.691433050616077,,0.501012170685371,,11.6343965876657,,,10.315815415255356,18.89763573390162,5.59249360662008,,40,,,18.89763573390162,,,,100,,,,,,,,0,,,,,,True,8.43,3.0,,,,3.0,89,40,100,,,60.0,30,75,False,46.0,2.0,Buy,1.22,511.33
HINDUNILVR,Hindustan Unilever Limited,Consumer Non-Durables,Household/Personal Care,5159467325089.0,2194.6,2218.5,,2198.572076537429,,2290.010953187584,2215.033999999998,2336.587694042205,,,Bearish,17,52.1165601604019,-5.313927388398042,-17.419858779314406,12.1059,20.24076703435629,4.004549547414815,93.99518214602575,80,1508994.0,1464035.1,1973056.433333334,1.0090665221558188,62.41,,,67,2179.46,2164.33,2210.16,2225.73,2195.03,2195.0333333333333,46.86086175038496,2171.17,2218.03,2124.31,2241.46,2288.32,2335.18,0.67,34.0,-1.3618589599532644,4.519693289517555,-18.94,-2.86,0.54,34.292232448396014,10.579644582562493,0.8413458243698027,33.83893158058503,21.5261715287189,21.0234057797946,0.0303247912349453,3.84341185976141,41.20266179494647,20.858315407265,,100,,,41.20266179494647,,,,67,,,,,,,,0,,,,,,True,2.27,3.0,,,,3.0,52,100,67,,,26.0,30,45,False,37.0,2.0,Sell,1.447368,2563.736842
