symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,1.901878590281012,0.0533536585365888,2.33,1.17,-3.89,-0.43,-1.12,3.94
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,3.890063424947141,3.999999999999995,2.33,1.17,,1.56,2.83,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,0.770674172362954,-6.369863013698628,2.33,1.17,-0.34,-1.56,-7.54,-6.03
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,0.8915511597130288,2.43988684582744,2.33,1.17,-0.34,-1.44,1.27,2.78
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,1.7739880427325432,-1.5734597156398018,2.33,1.17,-0.34,-0.56,-2.74,-1.23
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,4.759405074365712,14.038095238095249,2.33,1.17,12.69,2.43,12.87,1.35
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,13.324242719392224,12.415458937198068,2.33,1.17,1.04,10.99,11.25,11.38
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,4.151832460732982,-2.485294117647061,2.33,1.17,-0.46,1.82,-3.66,-2.03
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,1.9545131485429992,-0.4971098265895901,2.33,1.17,1.04,-0.38,-1.67,-1.54
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,-1.6519721577726176,-4.741786147692031,2.33,1.17,0.59,-3.98,-5.91,-5.33
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-0.0307929176289406,3.611702127659579,2.33,1.17,2.76,-2.36,2.44,0.85
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,7.230046948356808,7.431796801505174,2.33,1.17,12.69,4.9,6.26,-5.26
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,2.783710140658369,-3.411764705882353,2.33,1.17,8.0,0.45,-4.58,-11.41
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,4.11999402590199,8.565072302558399,2.33,1.17,8.0,1.79,7.4,0.57
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,6.870876531573981,6.502817783343764,2.33,1.17,8.0,4.54,5.33,-1.5
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,0.1307006488353644,-4.978959025470657,2.33,1.17,-3.89,-2.2,-6.15,-1.09
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,0.7356080260090011,-3.900375939849624,2.33,1.17,,-1.59,-5.07,
ADANIPORTS,Transportation,Other Transportation,,unmapped,-4.086322869955162,-9.225464190981436,2.33,1.17,,-6.42,-10.4,
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,1.7875647668393724,-1.7750000000000057,2.33,1.17,-0.34,-0.54,-2.95,-1.44
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,0.1455133387227125,-9.774217042971598,2.33,1.17,-0.34,-2.18,-10.94,-9.43
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,5.091078935077074,19.776417354272034,2.33,1.17,12.69,2.76,18.61,7.09
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,1.4596003475238883,0.2231376587710186,2.33,1.17,0.59,-0.87,-0.95,-0.37
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,0.2183956320873582,3.0577869914485616,2.33,1.17,-0.46,-2.11,1.89,3.52
