index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,04-Aug-2026,24774.3,2058886,3238231,1.57,24550,36.22
BANKNIFTY,25-Aug-2026,58247.95,391908,347235,0.89,57800,5.17
