index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,08-Sep-2026,23914.45,2271967,1654443,0.73,24000,8.39
BANKNIFTY,29-Sep-2026,57172.0,429728,453870,1.06,57500,10.95
