index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,01-Sep-2026,24080.4,3059450,2476540,0.81,24100,13.6
BANKNIFTY,29-Sep-2026,58024.95,389705,436576,1.12,57700,5.65
