symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,217.9,190.0,175.11,,,,False,197430.55,0.627,3.386,,4393
21STCENMGM,39.5,30.6,30.6,,,,True,5968.0,4.421,8.983,,2111
360ONE,1170.0,1065.0,1031.3,,,,False,1525746.95,0.831,3.038,,1700
3BBLACKBIO,1321.9,1125.0,1085.0,,,,False,13151.9,0.282,3.633,,71
3IINFOLTD,22.75,17.31,16.25,,,,True,981170.3,1.323,5.726,,5252
3MINDIA,36880.0,33800.0,31010.0,,,,False,4428.4,0.385,3.564,,5978
3PLAND,34.5,31.2,30.0,34.5,31.2,20.0,False,3415.5,0.346,2.575,-7.855,4532
5PAISA,400.0,344.0,299.0,,,,False,66156.0,0.643,3.856,,2151
63MOONS,874.05,650.0,596.65,,,,True,916929.15,10.536,5.158,,5212
A2ZINFRA,14.72,12.0,12.0,14.72,12.0,20.0,False,242874.2,1.508,2.98,-0.951,3850
AAATECH,99.39,85.0,85.0,,,,False,14809.95,0.464,4.588,,1413
AADHARHFC,563.0,487.1,449.8,,,,False,410521.3,1.049,6.039,,551
AAKASH,9.9,8.56,8.55,9.9,8.56,20.0,False,132427.35,0.389,2.751,-9.899,2029
AAREYDRUGS,87.99,73.41,73.41,,,,False,20774.45,5.053,7.342,,1232
AARNAV,37.4,23.51,21.76,,,,False,162148.25,0.567,4.295,,104
AARON,154.8,111.15,111.15,,,,False,57311.7,0.358,5.385,,1941
AARTECH,60.98,44.85,39.98,,,,False,178314.5,0.036,9.289,,756
AARTIDRUGS,435.25,377.55,365.0,,,,False,213271.65,0.825,4.145,,5662
AARTIIND,510.9,462.05,424.0,,,,False,772583.55,0.62,3.29,,5983
AARTIPHARM,735.0,654.0,604.15,,,,False,136905.25,0.614,3.894,,866
AARTISURF,409.2,361.6,355.2,,,,False,10387.7,0.682,3.211,,1499
AARVI,168.4,138.0,123.05,,,,False,65151.95,0.587,3.188,,2177
AASTHA,140.01,74.4,74.4,,,,False,5875143.47,0.182,5.645,,19
AATMAJ,20.5,16.7,16.7,,,,False,3100.0,0.0,8.313,,762
AAVAS,1544.9,1350.0,1247.6,,,,False,75424.75,0.432,4.184,,1932
ABAN,16.0,12.89,12.89,,,,False,69031.15,0.34,4.376,,5949
ABANSENT,30.4,25.15,24.51,,,,False,6103.05,3.018,3.29,,71
ABB,7924.5,6715.5,6594.0,,,,False,422014.55,0.796,4.914,,5983
