index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,04-Aug-2026,24249.3,1605163,1852137,1.15,24200,7.06
BANKNIFTY,25-Aug-2026,56969.9,331589,294886,0.89,57600,10.81
