symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,42799,47711087,47753886,677029.578992,75336005512907.75,2794809.0930695003,7127990,24317.15
BANKNIFTY,20622,1393757,1414379,353702.362428,2411357242538.1,590872.147809,834337,57147.5
M&M,45039,259957,304996,295347.31826,174792510436.0,329488.52262,123846,3294.6
INFY,44062,252579,296641,206721.7962,121545009648.0,234586.95268,368806,1155.0
RELIANCE,24587,204252,228839,159032.0341,134396753835.0,178807.77245,426488,1289.4
TCS,28323,147920,176243,156788.8444575,83540612857.5,173474.1080325,233052,2434.0
BAJFINANCE,19978,81519,101497,158020.806,66245055787.5,173082.613875,144708,1058.0
WAAREEENER,29378,132857,162235,132118.423045,63363344381.75,147267.6543625,77931,2632.0
HDFCBANK,27005,183417,210422,132322.469955,92213042961.0,147246.989565,744100,753.4
EICHERMOT,16201,153694,169895,126174.91439,123615588230.0,145171.29669,83658,7909.0
WIPRO,19712,101656,121368,111570.2712,59847765750.0,124093.1787,119294,186.41
SWIGGY,20743,55951,76694,109194.0155725,30831453567.0,120446.7312425,57984,293.8
ICICIBANK,10743,54847,65590,107236.05522,55942750703.0,114895.91225,206947,1430.0
RBLBANK,8721,16600,25321,104833.7054325,20489975530.0,109617.9732325,20475,377.7
TVSMOTOR,12916,80163,93079,94537.0855275,59598444197.25,107345.245,83706,4205.0
HEROMOTOCO,11108,95722,106830,88789.86084,79073154114.0,106669.35198,50805,5326.1
ADANIPORTS,11729,87459,99188,93594.4566175,72642387079.5,106408.2524125,96635,1661.5
MARUTI,12854,96902,109756,89451.370595,69394015428.5,101840.27488,80640,14180.0
KPITTECH,17612,125515,143127,80620.7311725,60317480688.5,96021.2780575,56403,591.1
ETERNAL,11420,42071,53491,85713.4420525,32182369582.0,93253.2578725,102566,310.05
ASIANPAINT,11448,128670,140118,77956.2664,90342269012.5,89889.706525,72148,2750.0
KALYANKJIL,7698,48163,55861,66390.11343,42761387713.5,88690.453065,46471,631.85
BHARTIARTL,8692,37097,45789,81128.6052575,35097022969.75,86117.669955,147068,1946.6
DIXON,9374,60492,69866,66366.14718,44480883262.0,77604.9548,80663,14321.0
SBIN,8465,74673,83138,65144.322825,58938550507.5,75899.5029,193965,1024.0
HINDALCO,10167,29039,39206,69098.64584,20404088285.0,73485.24869,103696,969.5
PERSISTENT,7770,68062,75832,54319.90385,49572765887.5,70182.687725,46976,5505.0
LT,9116,71704,80820,62857.570055,50264604080.25,70071.6283575,137948,3940.5
COFORGE,6974,49383,56357,57903.067815,41763882444.0,69065.107255,57098,1747.0
TECHM,6142,25364,31506,61408.23108,25771332138.0,66782.57646,46958,1661.4
SONACOMS,6128,33840,39968,56227.97677,32296624048.5,64381.344755,15103,767.0
COALINDIA,10444,62448,72892,58087.274715,35726905386.0,63921.291075,100622,417.4
AXISBANK,7447,42205,49652,57360.63,33276343143.75,61981.0614375,188445,1230.8
DABUR,10349,67085,77434,54640.952875,36983203787.5,59987.11575,43160,427.3
DIVISLAB,6647,44550,51197,52447.95229,36111609550.0,59920.04779,59443,7820.0
JIOFIN,9006,44718,53724,52474.79124,27016210271.5,58303.488955,125057,246.67
KAYNES,8884,36990,45874,48732.220215,21340741110.0,58086.981315,41013,3630.0
HCLTECH,9207,42313,51520,50273.1054,23462622532.0,55421.77072,94065,1351.5
ADANIENT,5059,34521,39580,47687.205904799994,33471096454.5,54004.1562498,76415,3050.0
PAYTM,4896,17129,22025,47457.9287,16953309259.0,51830.94629,47116,1330.9
