symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
PATANJALI,3421,5911,9332,12883.3414775,2298468841.25,13381.34114,39399,348.15
CGPOWER,1575,8668,10243,11757.166935,6577830255.5,12930.87949,30725,865.05
SONACOMS,1221,5537,6758,12035.627695,5802253464.0,12743.229835,15658,795.0
PRESTIGE,1587,5358,6945,11692.72512,4054769622.0,12629.44134,16810,1615.1
MARICO,1177,5545,6722,11898.72672,5675315532.0,12402.24204,18378,833.0
BPCL,1719,9744,11463,10980.4479875,6362451677.0,12108.0647575,25648,318.0
NAUKRI,1552,4452,6004,11464.18075,3363886938.5,12059.380135,29429,1323.5
BRITANNIA,1639,9713,11352,11017.2576375,6571085082.5,11719.4209625,25895,5310.0
WAAREEENER,2368,8158,10526,10937.94268,3937204465.25,11682.3248325,53963,2635.0
BAJAJFINSV,1700,16445,18145,10351.35807,10087905321.0,11318.53128,46259,2010.0
PGEL,1831,5851,7682,10363.99897,3431253386.5,11119.967835,17783,587.15
SUZLON,1582,8760,10342,9516.95328,5664975843.0,10686.88871,50495,46.94
RBLBANK,826,2324,3150,10113.810735,2924516249.0,10651.258225,16365,382.5
SUPREMEIND,1647,2092,3739,10316.65446,1352795332.0,10578.82028,15943,3540.0
RVNL,2160,11346,13506,9282.17983,5044716580.75,10387.5531375,33115,221.39
GAIL,1580,5822,7402,9845.58846,3761325926.5,10287.063975,31533,174.49
DABUR,1890,10505,12395,9401.174875,5364879887.5,10076.97375,38635,392.2
GODREJCP,1964,8955,10919,9185.7194,4287335410.0,9944.6735,43887,922.8
VMM,1644,6509,8153,8889.8948,3645545471.0,9596.48451,15648,109.62
AUROPHARMA,943,4738,5681,8491.86888,4369652732.5,9244.836205,23522,1623.0
ASTRAL,1370,4214,5584,8791.7631375,2810427879.0,9192.0769275,22768,1526.1
MPHASIS,1261,3492,4753,8412.3514475,2422061774.0,9003.3191875,19363,2400.0
PIDILITIND,1047,1904,2951,8700.29335,1607509815.0,8890.5915,13616,1650.0
COLPAL,1626,5639,7265,8429.3877525,3010977807.75,8888.17083,37006,1860.0
FORTIS,1167,2443,3610,8405.53251,1794970122.0,8728.94373,20074,913.85
BLUESTARCO,1699,4500,6199,8208.730075,2251230202.0,8669.652095,22103,1485.0
UNOMINDA,1197,1028,2225,8348.47288,721187483.5,8474.257715,11477,1260.0
NAM-INDIA,1066,1714,2780,8233.585625,1381246712.5,8454.55275,14839,1223.0
CAMS,1258,3799,5057,7857.348675,2448770816.25,8290.6143375,19213,746.0
PIIND,1705,9775,11480,7487.42841,4403813433.25,8236.8627425,31010,2508.3
FINNIFTY,391,13903,14294,6250.382112,22694557102.2,8164.273134,4094,26386.75
HAVELLS,1231,2819,4050,7787.55225,1817101920.0,8053.77145,18510,1258.7
GODFRYPHLP,1120,4484,5604,6649.0281275,2760495542.75,7372.733555,6925,2153.3
IRFC,1437,6021,7458,6754.996255,2908643045.0,7208.981955,30775,85.7
TORNTPHARM,1088,3976,5064,6720.2508,2546577356.25,7042.2118625,32942,4890.0
NHPC,1288,3736,5024,6774.78494,2038769156.0,7015.33,25209,76.24
SRF,1240,5398,6638,6448.6524,2878668508.0,6935.73748,31028,2583.0
KPITTECH,1387,6837,8224,6383.128935,3348731584.5,6840.09978,24602,590.0
UNITDSPR,1023,4521,5544,6304.69336,2853934140.0,6707.07476,24482,1538.5
PAGEIND,863,3144,4007,6146.307288,2364436643.2,6422.07372,16527,35155.0
TIINDIA,917,6234,7151,5312.4221,3745523308.0,6107.75518,14629,2860.0
OIL,833,2770,3603,5446.29792,1864434376.0,5774.30168,11689,469.15
PHOENIXLTD,803,1764,2567,5473.43797,1239390225.5,5628.750225,12409,1924.1
INOXWIND,1068,3943,5011,5061.4272,1997023168.0,5472.45888,28049,73.2
MFSL,795,3490,4285,5077.35264,2299508828.0,5450.92092,26050,1600.0
FORCEMOT,1141,3218,4359,5008.5576825,1512479884.75,5379.23153,14506,17450.0
PETRONET,890,4219,5109,4953.46283,2431592849.0,5268.59132,20536,289.0
IEX,890,4183,5073,4782.6684,2300763720.0,5170.7406,23561,122.0
TATAELXSI,1021,5405,6426,4678.134675,2561555347.5,5134.37565,24781,3650.0
NBCC,745,3490,4235,4346.1041,2146768520.0,4731.6893,21353,89.21
RADICO,595,2228,2823,4158.47007,1508814718.5,4355.817255,9024,4614.0
360ONE,601,3591,4192,3657.05425,2240568965.0,4104.4439,11150,1197.2
ALKEM,478,4138,4616,3214.4225,2644606768.75,3465.1151875,12674,5303.5
BAJAJHLDNG,253,299,552,2169.9402675,259470708.75,2218.847355,3875,11540.0
NIFTYNXT50,114,12,126,2132.572275,22802709.75,2136.4743725,694,74501.05
NIFTYFPI,13,0,13,227.7418,0.0,227.7418,32,1575.95
